user_id,employee_name,department,tool,license_type,monthly_cost_inr,logins_last_30d,active_days_last_30d,last_login_date,assigned_date,truly_unused
u-00046,Employee 46,Marketing,Salesforce,Standard,12000.0,61,10,2026-05-21,2026-01-13,0
u-00046,Employee 46,Marketing,GitHub,Premium,2880.0,103,26,2026-05-21,2024-11-19,0
u-00046,Employee 46,Marketing,Zoom,Enterprise,2880.0,2,1,2026-04-24,2025-09-25,0
u-00047,Employee 47,Legal,Salesforce,Premium,19200.0,107,16,2026-05-21,2024-08-11,0
u-00048,Employee 48,Engineering,Notion,Standard,900.0,69,25,2026-05-22,2026-04-19,0
u-00048,Employee 48,Engineering,Figma,Enterprise,3120.0,17,20,2026-05-21,2024-01-07,0
u-00048,Employee 48,Engineering,Zoom,Premium,1920.0,107,25,2026-05-20,2024-07-30,0
u-00048,Employee 48,Engineering,Slack,Premium,1120.0,1,1,2026-04-25,2025-02-03,0
u-00049,Employee 49,Sales,Jira,Premium,2400.0,1,0,2026-05-06,2025-08-15,1
u-00049,Employee 49,Sales,GitHub,Standard,1800.0,107,10,2026-05-21,2024-02-07,0
u-00050,Employee 50,Engineering,Slack,Standard,700.0,106,23,2026-05-21,2024-09-28,0
u-00050,Employee 50,Engineering,Notion,Standard,900.0,96,15,2026-05-19,2025-09-26,0
u-00051,Employee 51,Legal,Slack,Standard,700.0,22,28,2026-05-19,2024-03-12,0
u-00052,Employee 52,Marketing,Zoom,Standard,1200.0,111,16,2026-05-19,2024-11-04,0
u-00053,Employee 53,Legal,Zoom,Enterprise,2880.0,18,13,2026-05-20,2025-04-06,0
u-00053,Employee 53,Legal,HubSpot,Enterprise,10800.0,40,29,2026-05-21,2023-12-27,0
u-00054,Employee 54,Design,Jira,Standard,1500.0,43,16,2026-05-19,2024-12-09,0
u-00054,Employee 54,Design,GitHub,Standard,1800.0,75,22,2026-05-20,2024-02-02,0
u-00054,Employee 54,Design,Notion,Premium,1440.0,96,26,2026-05-19,2026-03-12,0
u-00055,Employee 55,Finance,GitHub,Premium,2880.0,2,0,2026-04-30,2026-01-25,1
u-00055,Employee 55,Finance,Jira,Premium,2400.0,39,17,2026-05-20,2025-06-23,0
u-00055,Employee 55,Finance,Notion,Standard,900.0,18,13,2026-05-20,2024-12-21,0
u-00056,Employee 56,Operations,HubSpot,Premium,7200.0,0,1,,2025-07-20,0
u-00056,Employee 56,Operations,GitHub,Standard,1800.0,71,24,2026-05-19,2025-01-23,0
u-00057,Employee 57,Legal,Slack,Standard,700.0,0,0,,2024-10-27,0
u-00057,Employee 57,Legal,HubSpot,Premium,7200.0,7,2,2026-05-18,2024-07-04,1
u-00057,Employee 57,Legal,Figma,Standard,1300.0,0,0,,2024-08-15,1
u-00058,Employee 58,Engineering,Notion,Standard,900.0,83,28,2026-05-20,2024-12-28,0
u-00059,Employee 59,Sales,Jira,Premium,2400.0,6,4,2026-05-17,2025-06-19,1
u-00059,Employee 59,Sales,GitHub,Standard,1800.0,31,27,2026-05-20,2023-12-29,0
u-00060,Employee 60,Finance,Salesforce,Standard,12000.0,94,11,2026-05-19,2025-08-17,0
u-00060,Employee 60,Finance,HubSpot,Standard,4500.0,46,15,2026-05-19,2024-09-12,0
u-00060,Employee 60,Finance,Notion,Standard,900.0,0,0,,2026-04-20,1
u-00061,Employee 61,Sales,Jira,Standard,1500.0,113,21,2026-05-21,2024-11-29,0
u-00061,Employee 61,Sales,Salesforce,Standard,12000.0,21,18,2026-05-19,2024-06-27,0
u-00061,Employee 61,Sales,Figma,Premium,2080.0,28,17,2026-05-19,2024-01-15,0
u-00061,Employee 61,Sales,Zoom,Premium,1920.0,34,19,2026-05-22,2025-05-01,0
u-00062,Employee 62,Engineering,Jira,Standard,1500.0,45,12,2026-05-21,2025-03-14,0
u-00063,Employee 63,HR,HubSpot,Premium,7200.0,0,0,,2025-06-20,1
u-00064,Employee 64,Finance,Zoom,Premium,1920.0,0,0,,2025-03-19,1
u-00065,Employee 65,Legal,Jira,Standard,1500.0,1,0,2026-05-07,2024-11-24,1
u-00065,Employee 65,Legal,Figma,Standard,1300.0,2,0,2026-05-02,2024-07-26,1
u-00066,Employee 66,Legal,Figma,Standard,1300.0,1,1,2026-05-07,2024-08-14,1
u-00066,Employee 66,Legal,Slack,Standard,700.0,2,0,2026-05-05,2026-02-22,1
u-00067,Employee 67,Engineering,Slack,Enterprise,1680.0,104,18,2026-05-22,2024-01-08,0
u-00068,Employee 68,Design,Notion,Standard,900.0,29,15,2026-05-21,2024-10-08,0
u-00069,Employee 69,Design,Figma,Premium,2080.0,46,10,2026-05-22,2025-09-20,0
u-00069,Employee 69,Design,Jira,Standard,1500.0,2,0,2026-04-25,2025-11-10,1
u-00070,Employee 70,Sales,Slack,Standard,700.0,103,21,2026-05-19,2024-12-20,0
u-00071,Employee 71,Sales,Figma,Premium,2080.0,102,20,2026-05-21,2025-11-09,0
u-00071,Employee 71,Sales,Notion,Standard,900.0,1,0,2026-05-10,2025-01-12,1
u-00071,Employee 71,Sales,Zoom,Premium,1920.0,37,17,2026-05-22,2025-06-20,0
u-00071,Employee 71,Sales,Salesforce,Standard,12000.0,40,22,2026-05-21,2024-01-01,0
u-00072,Employee 72,Finance,Jira,Premium,2400.0,74,15,2026-05-20,2026-02-21,0
u-00072,Employee 72,Finance,Slack,Standard,700.0,62,15,2026-05-19,2026-02-01,0
u-00073,Employee 73,Legal,Zoom,Standard,1200.0,27,17,2026-05-20,2026-01-18,0
u-00073,Employee 73,Legal,Jira,Premium,2400.0,0,0,,2024-01-12,1
u-00074,Employee 74,Marketing,GitHub,Premium,2880.0,99,13,2026-05-21,2024-03-23,0
u-00075,Employee 75,Legal,Jira,Standard,1500.0,0,0,,2025-09-04,1
u-00075,Employee 75,Legal,Figma,Premium,2080.0,97,22,2026-05-21,2025-12-18,0
u-00076,Employee 76,Engineering,HubSpot,Premium,7200.0,2,0,2026-04-13,2024-01-24,0
u-00076,Employee 76,Engineering,Figma,Standard,1300.0,25,18,2026-05-20,2025-06-24,0
u-00076,Employee 76,Engineering,GitHub,Standard,1800.0,62,21,2026-05-21,2026-03-23,0
u-00076,Employee 76,Engineering,Salesforce,Standard,12000.0,2,1,2026-04-25,2025-03-02,1
u-00077,Employee 77,Sales,Salesforce,Standard,12000.0,39,11,2026-05-19,2024-09-04,0
u-00077,Employee 77,Sales,HubSpot,Standard,4500.0,55,17,2026-05-21,2025-06-18,0
u-00078,Employee 78,Finance,Zoom,Standard,1200.0,119,14,2026-05-22,2024-05-11,0
u-00078,Employee 78,Finance,Jira,Premium,2400.0,28,25,2026-05-19,2024-07-15,0
u-00079,Employee 79,Legal,HubSpot,Standard,4500.0,1,1,2026-03-27,2025-11-27,0
u-00079,Employee 79,Legal,Slack,Premium,1120.0,88,28,2026-05-19,2025-05-02,0
u-00080,Employee 80,Design,Salesforce,Standard,12000.0,74,27,2026-05-20,2024-11-15,0
u-00080,Employee 80,Design,Slack,Standard,700.0,1,0,2026-05-04,2024-07-29,1
u-00081,Employee 81,Design,Salesforce,Premium,19200.0,61,28,2026-05-21,2024-04-25,0
u-00082,Employee 82,Design,GitHub,Standard,1800.0,94,25,2026-05-20,2024-06-17,0
u-00082,Employee 82,Design,Figma,Enterprise,3120.0,85,25,2026-05-22,2024-04-06,0
u-00083,Employee 83,Legal,GitHub,Premium,2880.0,92,28,2026-05-22,2025-09-03,0
u-00083,Employee 83,Legal,Jira,Standard,1500.0,81,22,2026-05-21,2023-12-31,0
u-00083,Employee 83,Legal,Notion,Standard,900.0,65,25,2026-05-20,2024-10-25,0
u-00084,Employee 84,Legal,Zoom,Standard,1200.0,103,14,2026-05-20,2023-12-29,0
u-00085,Employee 85,Finance,GitHub,Standard,1800.0,1,0,2026-04-28,2024-06-07,1
u-00085,Employee 85,Finance,Slack,Standard,700.0,58,10,2026-05-19,2025-06-07,0
u-00086,Employee 86,Sales,Salesforce,Standard,12000.0,57,26,2026-05-20,2024-06-26,0
u-00086,Employee 86,Sales,Notion,Standard,900.0,77,17,2026-05-21,2025-08-25,0
u-00087,Employee 87,Operations,Salesforce,Premium,19200.0,5,4,2026-05-09,2026-01-21,1
u-00088,Employee 88,Sales,HubSpot,Standard,4500.0,0,0,,2025-12-14,1
u-00089,Employee 89,Marketing,Salesforce,Standard,12000.0,117,17,2026-05-19,2025-02-22,0
u-00089,Employee 89,Marketing,GitHub,Standard,1800.0,2,0,2026-04-26,2026-04-20,1
u-00090,Employee 90,Engineering,Zoom,Standard,1200.0,26,16,2026-05-22,2024-07-03,0
u-00090,Employee 90,Engineering,Salesforce,Standard,12000.0,72,13,2026-05-19,2024-04-23,0
u-00091,Employee 91,Engineering,Jira,Premium,2400.0,3,0,2026-04-18,2024-03-13,0
u-00091,Employee 91,Engineering,HubSpot,Standard,4500.0,0,0,,2026-01-26,1
u-00091,Employee 91,Engineering,Salesforce,Standard,12000.0,2,1,2026-05-07,2024-06-01,1
u-00092,Employee 92,Finance,Salesforce,Standard,12000.0,2,1,2026-05-03,2024-08-29,1
u-00092,Employee 92,Finance,GitHub,Standard,1800.0,76,17,2026-05-19,2025-12-21,0
u-00093,Employee 93,Engineering,Figma,Standard,1300.0,5,4,2026-05-19,2024-01-20,1
u-00093,Employee 93,Engineering,Notion,Standard,900.0,2,1,2026-05-07,2025-10-10,1
u-00093,Employee 93,Engineering,GitHub,Standard,1800.0,68,26,2026-05-21,2025-04-09,0
u-00094,Employee 94,Operations,GitHub,Enterprise,4320.0,35,10,2026-05-21,2024-01-14,0
u-00094,Employee 94,Operations,Slack,Premium,1120.0,34,23,2026-05-20,2025-01-23,0
u-00094,Employee 94,Operations,Notion,Standard,900.0,2,0,2026-05-10,2024-08-17,1
u-00094,Employee 94,Operations,Zoom,Premium,1920.0,97,14,2026-05-22,2025-12-25,0
u-00095,Employee 95,Finance,GitHub,Standard,1800.0,1,0,2026-04-29,2025-11-11,1
u-00095,Employee 95,Finance,Jira,Enterprise,3600.0,21,21,2026-05-20,2026-03-16,0
u-00095,Employee 95,Finance,Slack,Premium,1120.0,88,20,2026-05-21,2026-02-04,0
u-00096,Employee 96,HR,HubSpot,Standard,4500.0,27,15,2026-05-20,2024-03-04,0
u-00096,Employee 96,HR,Zoom,Standard,1200.0,36,23,2026-05-21,2024-05-13,0
u-00097,Employee 97,Engineering,Salesforce,Premium,19200.0,0,0,,2025-06-06,1
u-00097,Employee 97,Engineering,Jira,Standard,1500.0,58,20,2026-05-22,2026-01-24,0
u-00097,Employee 97,Engineering,GitHub,Standard,1800.0,37,28,2026-05-21,2024-09-26,0
u-00098,Employee 98,Engineering,Slack,Standard,700.0,89,23,2026-05-20,2024-06-23,0
u-00098,Employee 98,Engineering,GitHub,Premium,2880.0,61,26,2026-05-20,2024-09-19,0
u-00099,Employee 99,Finance,GitHub,Premium,2880.0,2,1,2026-04-27,2024-11-10,1
u-00099,Employee 99,Finance,Slack,Standard,700.0,23,19,2026-05-20,2024-03-31,0
u-00099,Employee 99,Finance,Zoom,Standard,1200.0,72,13,2026-05-20,2025-09-03,0
u-00099,Employee 99,Finance,Salesforce,Standard,12000.0,64,17,2026-05-22,2025-05-25,0
u-00100,Employee 100,Finance,Notion,Standard,900.0,19,21,2026-05-21,2025-07-14,0
u-00100,Employee 100,Finance,Zoom,Premium,1920.0,94,28,2026-05-20,2025-06-06,0
u-00100,Employee 100,Finance,Slack,Standard,700.0,28,28,2026-05-20,2024-05-26,0
u-00101,Employee 101,Legal,GitHub,Premium,2880.0,53,20,2026-05-20,2024-08-22,0
u-00102,Employee 102,Sales,GitHub,Premium,2880.0,72,28,2026-05-22,2024-06-13,0
u-00103,Employee 103,Engineering,Zoom,Standard,1200.0,36,20,2026-05-20,2024-12-30,0
u-00104,Employee 104,HR,Slack,Enterprise,1680.0,35,11,2026-05-22,2025-06-05,0
u-00105,Employee 105,Engineering,Zoom,Standard,1200.0,67,22,2026-05-21,2024-11-26,0
u-00106,Employee 106,HR,GitHub,Standard,1800.0,1,1,2026-04-21,2024-10-24,0
u-00107,Employee 107,Finance,Notion,Standard,900.0,16,24,2026-05-20,2024-10-11,0
u-00107,Employee 107,Finance,Slack,Enterprise,1680.0,26,19,2026-05-22,2025-01-01,0
u-00108,Employee 108,HR,HubSpot,Enterprise,10800.0,2,0,2026-05-03,2025-09-18,1
u-00109,Employee 109,HR,Salesforce,Premium,19200.0,52,19,2026-05-22,2024-05-16,0
u-00109,Employee 109,HR,HubSpot,Standard,4500.0,0,0,,2024-02-28,1
u-00110,Employee 110,Design,GitHub,Premium,2880.0,57,14,2026-05-21,2025-01-07,0
u-00111,Employee 111,Sales,Salesforce,Enterprise,28800.0,104,21,2026-05-20,2025-11-22,0
u-00111,Employee 111,Sales,Zoom,Premium,1920.0,111,21,2026-05-21,2025-12-19,0
u-00112,Employee 112,Marketing,GitHub,Standard,1800.0,1,0,2026-04-24,2024-12-24,1
u-00112,Employee 112,Marketing,Slack,Standard,700.0,6,2,2026-05-13,2025-06-23,1
u-00112,Employee 112,Marketing,Notion,Standard,900.0,82,17,2026-05-22,2024-08-07,0
u-00113,Employee 113,Legal,Figma,Premium,2080.0,81,23,2026-05-20,2025-02-13,0
u-00114,Employee 114,Sales,Slack,Standard,700.0,112,23,2026-05-21,2025-05-20,0
u-00114,Employee 114,Sales,Salesforce,Standard,12000.0,3,1,2026-05-02,2024-10-25,0
u-00115,Employee 115,Marketing,Salesforce,Standard,12000.0,75,12,2026-05-20,2025-04-24,0
u-00115,Employee 115,Marketing,Figma,Standard,1300.0,1,0,2026-04-26,2026-02-28,1
u-00115,Employee 115,Marketing,Zoom,Standard,1200.0,34,15,2026-05-20,2024-11-08,0
u-00116,Employee 116,Marketing,Figma,Premium,2080.0,114,13,2026-05-22,2024-09-30,0
u-00116,Employee 116,Marketing,Slack,Standard,700.0,1,0,2026-03-27,2024-03-27,0
u-00117,Employee 117,Sales,GitHub,Enterprise,4320.0,112,25,2026-05-22,2024-04-02,0
u-00118,Employee 118,Operations,Salesforce,Premium,19200.0,54,10,2026-05-19,2025-02-01,0
u-00118,Employee 118,Operations,Zoom,Standard,1200.0,26,23,2026-05-20,2024-08-06,0
u-00118,Employee 118,Operations,Slack,Premium,1120.0,0,0,,2025-12-04,1
u-00118,Employee 118,Operations,Notion,Enterprise,2160.0,67,28,2026-05-20,2024-09-30,0
u-00119,Employee 119,Engineering,Notion,Standard,900.0,79,23,2026-05-19,2025-04-12,0
u-00119,Employee 119,Engineering,Figma,Premium,2080.0,31,29,2026-05-20,2025-05-14,0
u-00120,Employee 120,Design,Zoom,Enterprise,2880.0,71,14,2026-05-22,2025-01-08,0
u-00120,Employee 120,Design,Slack,Premium,1120.0,0,1,,2025-12-19,0
u-00121,Employee 121,Marketing,Zoom,Premium,1920.0,1,1,2026-05-08,2024-05-16,1
u-00121,Employee 121,Marketing,Jira,Premium,2400.0,45,17,2026-05-22,2024-09-29,0
u-00121,Employee 121,Marketing,Salesforce,Standard,12000.0,29,11,2026-05-21,2025-07-16,0
u-00122,Employee 122,Marketing,Notion,Standard,900.0,69,20,2026-05-22,2025-09-03,0
u-00122,Employee 122,Marketing,Figma,Standard,1300.0,0,0,,2026-04-20,1
u-00123,Employee 123,Design,Jira,Standard,1500.0,23,24,2026-05-22,2025-08-17,0
u-00123,Employee 123,Design,Zoom,Standard,1200.0,2,1,2026-05-05,2025-04-12,1
u-00123,Employee 123,Design,Slack,Standard,700.0,48,13,2026-05-22,2024-11-24,0
u-00124,Employee 124,Engineering,Figma,Premium,2080.0,78,13,2026-05-19,2025-09-21,0
u-00124,Employee 124,Engineering,HubSpot,Standard,4500.0,1,0,2026-04-29,2025-05-13,1
u-00125,Employee 125,Sales,HubSpot,Standard,4500.0,2,0,2026-04-20,2026-02-08,0
u-00125,Employee 125,Sales,Slack,Standard,700.0,46,24,2026-05-21,2026-02-15,0
u-00125,Employee 125,Sales,Figma,Standard,1300.0,100,25,2026-05-19,2024-03-08,0
u-00125,Employee 125,Sales,Jira,Enterprise,3600.0,3,1,2026-03-24,2025-02-24,0
u-00126,Employee 126,Operations,GitHub,Premium,2880.0,111,21,2026-05-19,2025-06-03,0
u-00126,Employee 126,Operations,Figma,Standard,1300.0,17,26,2026-05-19,2024-10-08,0
u-00126,Employee 126,Operations,Slack,Premium,1120.0,76,24,2026-05-19,2024-06-30,0
u-00127,Employee 127,Finance,Salesforce,Premium,19200.0,0,0,,2025-01-01,1
u-00127,Employee 127,Finance,Notion,Premium,1440.0,72,29,2026-05-20,2026-03-09,0
u-00128,Employee 128,Finance,Figma,Standard,1300.0,104,12,2026-05-19,2024-06-09,0
u-00128,Employee 128,Finance,Zoom,Premium,1920.0,0,0,,2024-04-22,1
u-00129,Employee 129,HR,Slack,Premium,1120.0,3,1,2026-04-16,2025-08-07,0
u-00129,Employee 129,HR,Figma,Premium,2080.0,3,1,2026-04-26,2026-04-03,0
u-00130,Employee 130,HR,Notion,Standard,900.0,105,17,2026-05-22,2026-03-12,0
u-00131,Employee 131,Design,Notion,Standard,900.0,60,28,2026-05-19,2024-03-04,0
u-00131,Employee 131,Design,Salesforce,Standard,12000.0,30,10,2026-05-20,2024-06-27,0
u-00132,Employee 132,Engineering,GitHub,Enterprise,4320.0,2,0,2026-03-29,2024-12-06,0
u-00132,Employee 132,Engineering,Slack,Premium,1120.0,73,28,2026-05-20,2026-03-03,0
u-00133,Employee 133,HR,Salesforce,Premium,19200.0,25,22,2026-05-20,2024-07-17,0
u-00133,Employee 133,HR,HubSpot,Premium,7200.0,0,0,,2024-02-21,1
u-00134,Employee 134,Design,Notion,Premium,1440.0,53,10,2026-05-21,2024-04-01,0
u-00134,Employee 134,Design,HubSpot,Standard,4500.0,55,25,2026-05-22,2024-07-12,0
u-00134,Employee 134,Design,Zoom,Standard,1200.0,55,20,2026-05-20,2024-09-07,0
u-00135,Employee 135,Design,Slack,Premium,1120.0,39,10,2026-05-19,2025-04-30,0
u-00135,Employee 135,Design,Jira,Premium,2400.0,76,29,2026-05-19,2025-08-01,0
u-00136,Employee 136,Finance,GitHub,Standard,1800.0,85,11,2026-05-20,2024-02-04,0
