date,instance_id,instance_type,region,environment,cpu_utilization_avg,cpu_utilization_max,hours_running,cost_inr
2026-04-11,i-prod-004,r5.xlarge,eu-west-1,prod,60.46,78.03,24,576.0
2026-03-20,i-dev-003,t3.large,us-east-1,dev,3.97,11.1,24,192.0
2026-03-09,i-dev-004,t3.medium,eu-west-1,dev,30.5,41.74,10,40.0
2026-03-19,i-dev-004,t3.medium,eu-west-1,dev,55.22,61.88,10,40.0
2026-03-15,i-test-001,t3.medium,ap-south-1,test,1.89,6.39,24,96.0
2026-03-26,i-ml-001,m5.2xlarge,ap-south-1,prod,31.92,93.07,24,864.0
2026-04-09,i-dev-004,t3.medium,eu-west-1,dev,53.47,59.49,10,40.0
2026-02-19,i-dev-002,t3.medium,ap-south-1,dev,2.67,5.83,24,96.0
2026-03-27,i-dev-002,t3.medium,ap-south-1,dev,2.13,4.17,24,96.0
2026-04-03,i-prod-003,m5.xlarge,us-east-1,prod,63.94,82.72,24,432.0
2026-02-22,i-dev-001,t3.medium,ap-south-1,dev,3.01,7.38,24,96.0
2026-03-25,i-prod-003,m5.xlarge,us-east-1,prod,47.35,57.45,24,432.0
2026-02-19,i-prod-004,r5.xlarge,eu-west-1,prod,47.09,60.94,24,576.0
2026-04-23,i-prod-001,m5.2xlarge,ap-south-1,prod,51.19,66.12,24,864.0
2026-04-05,i-test-001,t3.medium,ap-south-1,test,1.88,3.56,24,96.0
2026-02-23,i-prod-006,m5.xlarge,us-east-1,prod,37.94,46.25,24,432.0
2026-03-10,i-prod-005,t3.large,ap-south-1,prod,51.42,62.06,24,192.0
2026-03-23,i-test-002,t3.medium,us-east-1,test,65.93,83.26,10,40.0
2026-03-06,i-stag-002,t3.medium,us-east-1,staging,42.34,48.53,10,40.0
2026-04-13,i-prod-005,t3.large,ap-south-1,prod,33.33,43.97,24,192.0
2026-04-22,i-prod-006,m5.xlarge,us-east-1,prod,69.82,85.9,24,432.0
2026-04-18,i-prod-005,t3.large,ap-south-1,prod,42.09,48.6,24,192.0
2026-04-13,i-prod-002,m5.xlarge,ap-south-1,prod,70.58,78.63,24,432.0
2026-02-16,i-stag-001,t3.large,ap-south-1,staging,45.56,53.28,10,80.0
2026-03-18,i-test-002,t3.medium,us-east-1,test,34.53,43.13,10,40.0
2026-04-29,i-dev-002,t3.medium,ap-south-1,dev,0.82,5.79,24,96.0
2026-02-01,i-test-002,t3.medium,us-east-1,test,52.98,64.24,4,16.0
2026-03-09,i-prod-004,r5.xlarge,eu-west-1,prod,40.76,47.9,24,576.0
2026-03-28,i-prod-004,r5.xlarge,eu-west-1,prod,40.17,54.78,24,576.0
2026-04-09,i-prod-002,m5.xlarge,ap-south-1,prod,56.53,70.72,24,432.0
2026-03-22,i-prod-003,m5.xlarge,us-east-1,prod,55.74,68.43,24,432.0
2026-02-03,i-prod-006,m5.xlarge,us-east-1,prod,45.71,61.6,24,432.0
2026-03-03,i-stag-001,t3.large,ap-south-1,staging,39.71,54.59,10,80.0
2026-03-06,i-dev-003,t3.large,us-east-1,dev,3.6,4.14,24,192.0
2026-04-15,i-stag-002,t3.medium,us-east-1,staging,67.14,84.82,10,40.0
2026-02-14,i-dev-001,t3.medium,ap-south-1,dev,2.42,5.09,24,96.0
2026-04-03,i-prod-002,m5.xlarge,ap-south-1,prod,64.25,74.82,24,432.0
2026-04-08,i-prod-005,t3.large,ap-south-1,prod,44.08,53.15,24,192.0
2026-02-02,i-test-002,t3.medium,us-east-1,test,59.03,66.65,10,40.0
2026-02-27,i-dev-002,t3.medium,ap-south-1,dev,1.9,2.07,24,96.0
2026-03-13,i-dev-001,t3.medium,ap-south-1,dev,2.29,5.9,24,96.0
2026-01-31,i-dev-001,t3.medium,ap-south-1,dev,4.45,8.31,24,96.0
2026-02-06,i-prod-003,m5.xlarge,us-east-1,prod,62.16,77.06,24,432.0
2026-02-15,i-prod-005,t3.large,ap-south-1,prod,59.93,72.78,24,192.0
2026-04-22,i-prod-004,r5.xlarge,eu-west-1,prod,41.95,56.12,24,576.0
2026-03-11,i-prod-003,m5.xlarge,us-east-1,prod,59.76,67.54,24,432.0
2026-04-12,i-dev-004,t3.medium,eu-west-1,dev,54.1,71.65,4,16.0
2026-04-17,i-test-002,t3.medium,us-east-1,test,70.38,84.72,10,40.0
2026-02-27,i-dev-001,t3.medium,ap-south-1,dev,1.81,4.39,24,96.0
2026-03-01,i-prod-002,m5.xlarge,ap-south-1,prod,62.64,74.94,24,432.0
2026-03-30,i-dev-001,t3.medium,ap-south-1,dev,2.56,3.9,24,96.0
2026-03-16,i-stag-002,t3.medium,us-east-1,staging,33.05,48.66,10,40.0
2026-04-13,i-dev-003,t3.large,us-east-1,dev,,8.18,24,192.0
2026-03-07,i-dev-001,t3.medium,ap-south-1,dev,0.86,4.63,24,96.0
2026-03-03,i-dev-003,t3.large,us-east-1,dev,3.84,9.74,24,192.0
2026-03-21,i-prod-006,m5.xlarge,us-east-1,prod,58.41,72.28,24,432.0
2026-04-27,i-prod-005,t3.large,ap-south-1,prod,59.68,75.0,24,192.0
2026-04-19,i-dev-001,t3.medium,ap-south-1,dev,2.47,4.89,24,96.0
2026-02-04,i-stag-001,t3.large,ap-south-1,staging,46.66,51.89,10,80.0
2026-04-21,i-dev-001,t3.medium,ap-south-1,dev,2.3,3.48,24,96.0
2026-04-24,i-test-002,t3.medium,us-east-1,test,51.48,61.74,10,40.0
2026-04-17,i-dev-004,t3.medium,eu-west-1,dev,38.85,54.91,10,40.0
2026-04-08,i-prod-004,r5.xlarge,eu-west-1,prod,60.42,76.02,24,576.0
2026-04-26,i-test-002,t3.medium,us-east-1,test,44.63,50.22,4,16.0
2026-04-17,i-ml-001,m5.2xlarge,ap-south-1,prod,31.63,96.1,24,864.0
2026-03-23,i-prod-002,m5.xlarge,ap-south-1,prod,45.96,65.09,24,432.0
2026-03-25,i-ml-001,m5.2xlarge,ap-south-1,prod,42.74,93.72,24,864.0
2026-03-01,i-dev-001,t3.medium,ap-south-1,dev,1.49,5.84,24,96.0
2026-02-17,i-prod-001,m5.2xlarge,ap-south-1,prod,74.32,91.9,24,864.0
2026-04-23,i-dev-002,t3.medium,ap-south-1,dev,2.63,4.07,24,96.0
2026-03-28,i-ml-001,m5.2xlarge,ap-south-1,prod,26.9,93.43,24,864.0
2026-03-30,i-prod-001,m5.2xlarge,ap-south-1,prod,48.74,66.08,24,864.0
2026-03-04,i-prod-003,m5.xlarge,us-east-1,prod,46.8,55.21,24,432.0
2026-04-28,i-prod-003,m5.xlarge,us-east-1,prod,43.79,49.39,24,432.0
2026-03-03,i-prod-003,m5.xlarge,us-east-1,prod,61.17,78.74,24,432.0
2026-03-31,i-ml-001,m5.2xlarge,ap-south-1,prod,24.9,82.68,24,864.0
2026-04-24,i-prod-006,m5.xlarge,us-east-1,prod,59.64,72.63,24,432.0
2026-02-11,i-test-001,t3.medium,ap-south-1,test,1.09,5.72,24,96.0
2026-03-31,i-prod-002,m5.xlarge,ap-south-1,prod,30.76,47.32,24,432.0
2026-02-04,i-prod-002,m5.xlarge,ap-south-1,prod,70.14,84.61,24,432.0
2026-03-29,i-prod-006,m5.xlarge,us-east-1,prod,88.92,86.25,24,1728.0
2026-04-16,i-prod-004,r5.xlarge,eu-west-1,prod,56.41,70.13,24,576.0
2026-02-12,i-prod-002,m5.xlarge,ap-south-1,prod,35.76,43.04,24,432.0
2026-04-19,i-stag-002,t3.medium,us-east-1,staging,38.78,51.12,4,16.0
2026-04-27,i-stag-002,t3.medium,us-east-1,staging,48.77,56.18,10,40.0
2026-03-12,i-ml-001,m5.2xlarge,ap-south-1,prod,26.17,93.8,24,864.0
2026-02-28,i-prod-001,m5.2xlarge,ap-south-1,prod,69.19,84.9,24,864.0
2026-03-25,i-stag-002,t3.medium,us-east-1,staging,73.49,86.85,10,40.0
2026-03-21,i-dev-002,t3.medium,ap-south-1,dev,2.53,5.7,24,96.0
2026-04-21,i-prod-004,r5.xlarge,eu-west-1,prod,31.37,39.44,24,576.0
2026-02-28,i-prod-005,t3.large,ap-south-1,prod,62.92,69.15,24,192.0
2026-02-02,i-dev-004,t3.medium,eu-west-1,dev,31.83,45.7,10,40.0
2026-03-16,i-prod-006,m5.xlarge,us-east-1,prod,68.28,81.7,24,432.0
2026-04-09,i-prod-003,m5.xlarge,us-east-1,prod,40.89,56.6,24,432.0
2026-03-10,i-prod-004,r5.xlarge,eu-west-1,prod,36.75,46.62,24,576.0
2026-04-24,i-prod-003,m5.xlarge,us-east-1,prod,55.96,67.92,24,432.0
2026-03-01,i-test-001,t3.medium,ap-south-1,test,3.59,4.25,24,96.0
2026-03-12,i-prod-005,t3.large,ap-south-1,prod,50.72,68.35,24,192.0
2026-03-09,i-test-002,t3.medium,us-east-1,test,36.17,49.2,10,40.0
2026-02-04,i-dev-004,t3.medium,eu-west-1,dev,55.65,62.11,10,40.0
2026-02-07,i-prod-004,r5.xlarge,eu-west-1,prod,33.12,39.63,24,576.0
2026-04-26,i-dev-003,t3.large,us-east-1,dev,3.16,6.19,24,192.0
2026-03-31,i-dev-001,t3.medium,ap-south-1,dev,2.09,3.61,24,96.0
2026-02-21,i-dev-002,t3.medium,ap-south-1,dev,2.77,7.35,24,96.0
2026-02-21,i-prod-002,m5.xlarge,ap-south-1,prod,56.56,66.97,24,432.0
2026-02-19,i-prod-004,r5.xlarge,eu-west-1,prod,47.09,60.94,24,576.0
2026-03-12,i-dev-004,t3.medium,eu-west-1,dev,43.39,56.87,10,40.0
2026-02-20,i-prod-002,m5.xlarge,ap-south-1,prod,69.33,83.29,24,432.0
2026-04-02,i-stag-002,t3.medium,us-east-1,staging,58.83,73.83,10,40.0
2026-03-08,i-prod-006,m5.xlarge,us-east-1,prod,45.57,65.21,24,432.0
2026-02-07,i-dev-001,t3.medium,ap-south-1,dev,3.44,7.46,24,96.0
2026-04-02,i-dev-003,t3.large,us-east-1,dev,5.63,7.46,24,192.0
2026-02-27,i-prod-003,m5.xlarge,us-east-1,prod,47.66,59.86,24,432.0
2026-03-07,i-dev-002,t3.medium,ap-south-1,dev,3.8,7.71,24,96.0
2026-03-12,i-prod-003,m5.xlarge,us-east-1,prod,66.72,84.64,24,432.0
2026-02-15,i-ml-001,m5.2xlarge,ap-south-1,prod,26.21,94.13,24,864.0
2026-03-21,i-ml-001,m5.2xlarge,ap-south-1,prod,,89.81,24,864.0
2026-03-02,i-ml-001,m5.2xlarge,ap-south-1,prod,37.62,83.84,24,864.0
2026-02-10,i-dev-002,t3.medium,ap-south-1,dev,4.38,8.59,24,96.0
2026-03-30,i-stag-002,t3.medium,us-east-1,staging,46.55,52.42,10,40.0
2026-04-03,i-prod-004,r5.xlarge,eu-west-1,prod,55.97,66.33,24,576.0
2026-02-14,i-test-001,t3.medium,ap-south-1,test,2.88,5.24,24,96.0
2026-04-11,i-ml-001,m5.2xlarge,ap-south-1,prod,44.0,91.71,24,864.0
2026-03-31,i-prod-004,r5.xlarge,eu-west-1,prod,43.2,59.8,24,576.0
2026-04-01,i-prod-004,r5.xlarge,eu-west-1,prod,71.29,80.64,24,576.0
2026-03-25,i-test-002,t3.medium,us-east-1,test,54.44,62.85,10,40.0
2026-01-31,i-ml-001,m5.2xlarge,ap-south-1,prod,35.94,96.86,24,864.0
2026-02-13,i-dev-003,t3.large,us-east-1,dev,2.78,10.67,24,192.0
2026-02-20,i-stag-002,t3.medium,us-east-1,staging,62.36,71.81,10,40.0
2026-02-14,i-ml-001,m5.2xlarge,ap-south-1,prod,44.13,82.36,24,864.0
2026-02-18,i-prod-005,t3.large,ap-south-1,prod,38.19,56.11,24,192.0
2026-04-13,i-prod-003,m5.xlarge,us-east-1,prod,69.48,80.32,24,432.0
2026-02-01,i-prod-002,m5.xlarge,ap-south-1,prod,55.26,71.82,24,432.0
2026-02-24,i-stag-002,t3.medium,us-east-1,staging,65.88,80.76,10,40.0
2026-02-13,i-prod-001,m5.2xlarge,ap-south-1,prod,62.1,80.53,24,864.0
2026-04-19,i-prod-005,t3.large,ap-south-1,prod,60.02,76.68,24,192.0
2026-02-16,i-prod-005,t3.large,ap-south-1,prod,62.5,78.3,24,192.0
2026-02-23,i-dev-004,t3.medium,eu-west-1,dev,54.16,68.06,10,40.0
2026-03-25,i-prod-002,m5.xlarge,ap-south-1,prod,42.98,62.4,24,432.0
2026-02-13,i-dev-004,t3.medium,eu-west-1,dev,40.68,47.2,10,40.0
2026-03-12,i-dev-002,t3.medium,ap-south-1,dev,2.52,6.73,24,96.0
2026-03-16,i-prod-004,r5.xlarge,eu-west-1,prod,57.38,67.63,24,576.0
2026-04-05,i-dev-001,t3.medium,ap-south-1,dev,4.23,8.37,24,96.0
2026-02-03,i-dev-003,t3.large,us-east-1,dev,3.74,9.28,24,192.0
2026-04-06,i-prod-004,r5.xlarge,eu-west-1,prod,73.66,85.23,24,576.0
2026-03-01,i-ml-001,m5.2xlarge,ap-south-1,prod,24.24,89.88,24,864.0
2026-04-05,i-dev-004,t3.medium,eu-west-1,dev,42.33,59.44,4,16.0
2026-04-19,i-test-001,t3.medium,ap-south-1,test,1.2,4.04,24,96.0
2026-03-02,i-test-002,t3.medium,us-east-1,test,36.28,41.73,10,40.0
2026-03-23,i-prod-004,r5.xlarge,eu-west-1,prod,30.46,45.0,24,576.0
2026-04-02,i-prod-004,r5.xlarge,eu-west-1,prod,38.55,55.44,24,576.0
2026-02-19,i-test-001,t3.medium,ap-south-1,test,0.57,5.15,24,96.0
2026-02-16,i-prod-005,t3.large,ap-south-1,prod,62.5,78.3,24,192.0
2026-03-15,i-dev-003,t3.large,us-east-1,dev,1.17,1.67,24,192.0
2026-04-02,i-prod-005,t3.large,ap-south-1,prod,72.47,91.87,24,192.0
2026-03-27,i-stag-001,t3.large,ap-south-1,staging,63.9,80.44,10,80.0
2026-02-12,i-prod-004,r5.xlarge,eu-west-1,prod,70.36,82.46,24,576.0
2026-02-02,i-prod-004,r5.xlarge,eu-west-1,prod,42.82,48.37,24,576.0
2026-04-08,i-prod-003,m5.xlarge,us-east-1,prod,30.68,50.16,24,432.0
2026-02-06,i-dev-001,t3.medium,ap-south-1,dev,0.89,3.35,24,96.0
2026-02-09,i-prod-006,m5.xlarge,us-east-1,prod,46.87,56.15,24,432.0
2026-04-04,i-stag-002,t3.medium,us-east-1,staging,64.45,69.45,4,16.0
2026-03-07,i-prod-003,m5.xlarge,us-east-1,prod,39.04,52.08,24,432.0
2026-02-17,i-prod-006,m5.xlarge,us-east-1,prod,71.39,81.59,24,432.0
2026-03-16,i-prod-002,m5.xlarge,ap-south-1,prod,41.54,56.36,24,432.0
2026-03-04,i-dev-004,t3.medium,eu-west-1,dev,40.96,59.86,10,40.0
2026-03-18,i-stag-002,t3.medium,us-east-1,staging,33.57,49.55,10,40.0
2026-04-03,i-prod-001,m5.2xlarge,ap-south-1,prod,71.38,91.28,24,864.0
2026-03-07,i-prod-004,r5.xlarge,eu-west-1,prod,50.27,66.61,24,576.0
2026-03-03,i-test-002,t3.medium,us-east-1,test,49.6,66.87,10,40.0
2026-04-13,i-test-001,t3.medium,ap-south-1,test,0.77,4.6,24,96.0
2026-02-22,i-dev-002,t3.medium,ap-south-1,dev,3.57,5.66,24,96.0
2026-04-07,i-prod-006,m5.xlarge,us-east-1,prod,38.95,50.23,24,432.0
2026-04-12,i-prod-001,m5.2xlarge,ap-south-1,prod,48.71,60.14,24,864.0
2026-04-13,i-prod-004,r5.xlarge,eu-west-1,prod,73.56,79.56,24,576.0
2026-03-22,i-test-001,t3.medium,ap-south-1,test,0.74,3.76,24,96.0
2026-03-02,i-test-001,t3.medium,ap-south-1,test,2.56,5.01,24,96.0
2026-03-12,i-prod-006,m5.xlarge,us-east-1,prod,64.94,79.78,24,432.0
2026-03-06,i-prod-004,r5.xlarge,eu-west-1,prod,74.45,81.5,24,576.0
2026-02-15,i-prod-004,r5.xlarge,eu-west-1,prod,37.36,44.83,24,576.0
2026-04-21,i-prod-002,m5.xlarge,ap-south-1,prod,56.86,76.85,24,432.0
2026-03-13,i-test-002,t3.medium,us-east-1,test,32.92,46.62,10,40.0
2026-03-20,i-dev-002,t3.medium,ap-south-1,dev,4.11,8.37,24,96.0
2026-04-26,i-dev-002,t3.medium,ap-south-1,dev,3.83,6.53,24,96.0
2026-02-26,i-prod-001,m5.2xlarge,ap-south-1,prod,39.93,46.17,24,864.0
2026-03-20,i-prod-003,m5.xlarge,us-east-1,prod,66.22,71.49,24,432.0
2026-02-02,i-dev-002,t3.medium,ap-south-1,dev,3.03,5.71,24,96.0
2026-03-10,i-prod-001,m5.2xlarge,ap-south-1,prod,66.07,85.46,24,864.0
2026-03-22,i-stag-001,t3.large,ap-south-1,staging,61.6,81.49,4,32.0
2026-02-06,i-prod-005,t3.large,ap-south-1,prod,57.53,68.82,24,192.0
2026-03-30,i-prod-002,m5.xlarge,ap-south-1,prod,39.54,54.4,24,432.0
2026-03-08,i-stag-001,t3.large,ap-south-1,staging,67.01,74.0,4,32.0
2026-04-07,i-prod-003,m5.xlarge,us-east-1,prod,49.47,64.76,24,432.0
2026-04-21,i-stag-001,t3.large,ap-south-1,staging,31.57,44.84,10,80.0
2026-04-07,i-prod-002,m5.xlarge,ap-south-1,prod,33.08,49.83,24,432.0
2026-04-15,i-ml-001,m5.2xlarge,ap-south-1,prod,36.36,84.41,24,864.0
2026-02-18,i-prod-002,m5.xlarge,ap-south-1,prod,55.42,61.4,24,432.0
2026-04-27,i-dev-002,t3.medium,ap-south-1,dev,0.84,2.8,24,96.0
2026-03-11,i-test-002,t3.medium,us-east-1,test,40.11,50.69,10,40.0
2026-04-07,i-prod-001,m5.2xlarge,ap-south-1,prod,45.03,61.02,24,864.0
2026-03-05,i-prod-004,r5.xlarge,eu-west-1,prod,53.63,69.27,24,576.0
2026-04-14,i-dev-002,t3.medium,ap-south-1,dev,2.03,6.14,24,96.0
2026-02-10,i-prod-006,m5.xlarge,us-east-1,prod,57.6,68.88,24,432.0
2026-04-08,i-dev-003,t3.large,us-east-1,dev,3.25,10.91,24,192.0
2026-02-22,i-stag-001,t3.large,ap-south-1,staging,65.95,85.91,4,32.0
2026-02-12,i-ml-001,m5.2xlarge,ap-south-1,prod,38.69,80.7,24,864.0
2026-04-24,i-dev-004,t3.medium,eu-west-1,dev,57.63,66.42,10,40.0
2026-02-08,i-prod-006,m5.xlarge,us-east-1,prod,65.62,82.47,24,432.0
2026-04-05,i-prod-005,t3.large,ap-south-1,prod,56.27,75.55,24,192.0
2026-03-31,i-prod-005,t3.large,ap-south-1,prod,,56.24,24,192.0
2026-02-28,i-prod-004,r5.xlarge,eu-west-1,prod,50.35,65.01,24,576.0
2026-02-23,i-stag-002,t3.medium,us-east-1,staging,73.61,91.87,10,40.0
2026-02-12,i-prod-005,t3.large,ap-south-1,prod,37.75,45.64,24,192.0
2026-04-03,i-dev-001,t3.medium,ap-south-1,dev,1.2,5.53,24,96.0
2026-02-22,i-prod-002,m5.xlarge,ap-south-1,prod,32.94,42.67,24,432.0
2026-02-22,i-prod-002,m5.xlarge,ap-south-1,prod,32.94,42.67,24,432.0
2026-01-30,i-dev-003,t3.large,us-east-1,dev,4.04,5.4,24,192.0
2026-02-08,i-test-001,t3.medium,ap-south-1,test,4.45,6.32,24,96.0
2026-02-26,i-stag-001,t3.large,ap-south-1,staging,31.4,46.18,10,80.0
