date,instance_id,instance_type,region,environment,cpu_utilization_avg,cpu_utilization_max,hours_running,cost_compute_inr,cost_storage_inr,cost_transfer_inr,cost_other_inr,cost_inr,day_of_week,month,is_weekend,utilization_band,is_idle_candidate,daily_waste_inr
2026-02-19,i-dev-0017,t3.large,us-east-1,dev,0.6,22.1,24,192.0,50.0,15.04,18.23,275.27,3,2,0,idle,True,275.27
2025-06-20,i-prod-0114,m5.4xlarge,ap-southeast-1,prod,7.72,20.59,24,1728.0,400.0,98.49,6.4,2232.89,4,6,0,low,False,0.0
2026-02-06,i-dev-0041,t3.medium,us-west-2,dev,48.65,60.36,14,56.0,25.0,13.99,19.5,114.49,4,2,0,normal,False,0.0
2026-01-11,i-prod-0113,p3.8xlarge,eu-west-1,prod,53.14,69.04,24,20089.5,500.0,25.43,10.33,20625.26,6,1,1,normal,False,0.0
2026-03-21,i-prod-0036,c5.2xlarge,us-west-2,prod,42.83,57.65,24,666.77,100.0,20.05,17.0,803.82,5,3,1,normal,False,0.0
2025-12-24,i-test-0124,m5.xlarge,eu-west-1,test,58.63,66.74,10,180.0,100.0,5.65,10.18,295.83,2,12,0,normal,False,0.0
2025-07-07,i-stag-0146,t3.medium,eu-west-1,staging,45.72,66.56,10,40.0,25.0,55.53,14.91,135.44,0,7,0,normal,False,0.0
2026-03-13,i-stag-0009,t3.large,us-west-2,staging,63.98,80.54,12,96.0,50.0,18.75,22.51,187.26,4,3,0,normal,False,0.0
2026-01-29,i-stag-0068,t3.medium,us-west-2,staging,67.43,75.84,14,67.48,25.0,33.74,24.94,151.16,3,1,0,normal,False,0.0
2025-06-12,i-prod-0054,c5.4xlarge,us-west-2,prod,37.63,58.12,24,1440.0,200.0,63.14,13.67,1716.81,3,6,0,normal,False,0.0
2026-03-05,i-test-0046,t3.large,us-west-2,test,5.58,23.44,24,192.0,50.0,7.82,14.46,264.28,3,3,0,low,False,0.0
2025-12-23,i-prod-0047,db.m5.large,ap-southeast-1,prod,53.41,59.53,24,960.0,500.0,47.35,11.1,1518.45,1,12,0,normal,False,0.0
2025-12-28,i-stag-0040,t3.large,ap-south-1,staging,61.32,75.0,0,0.0,50.0,9.89,17.79,77.68,6,12,1,normal,False,0.0
2026-05-05,i-prod-0063,m5.xlarge,us-west-2,prod,61.51,82.42,24,432.0,100.0,93.11,20.08,645.19,1,5,0,normal,False,0.0
2025-08-27,i-test-0124,m5.xlarge,eu-west-1,test,51.31,71.05,12,216.0,100.0,3.32,8.93,328.25,2,8,0,normal,False,0.0
2025-12-29,i-prod-0111,m5.4xlarge,us-west-2,prod,49.89,68.05,24,2066.0,400.0,99.7,11.64,2577.34,0,12,0,normal,False,0.0
2025-12-19,i-prod-0150,p3.2xlarge,ap-southeast-1,prod,60.02,73.96,24,6000.0,250.0,128.9,5.01,6383.91,4,12,0,normal,False,0.0
2026-01-29,i-prod-0150,p3.2xlarge,ap-southeast-1,prod,61.42,79.29,24,7230.24,250.0,194.55,5.16,7679.95,3,1,0,normal,False,0.0
2025-10-22,i-prod-0045,m5.2xlarge,us-east-1,prod,60.5,66.02,24,794.88,200.0,37.47,17.8,1050.15,2,10,0,normal,False,0.0
2026-04-01,i-prod-0021,p3.2xlarge,ap-southeast-1,prod,11.83,17.89,24,6000.0,250.0,8.41,13.26,6271.67,2,4,0,low,False,0.0
2025-07-02,i-dev-0012,t3.medium,ap-south-1,dev,62.13,73.28,12,48.0,25.0,27.4,16.72,117.12,2,7,0,normal,False,0.0
2025-08-28,i-prod-0120,p3.2xlarge,ap-south-1,prod,58.27,81.16,24,6000.0,250.0,189.32,14.16,6453.48,3,8,0,normal,False,0.0
2025-06-23,i-prod-0033,db.m5.large,eu-west-1,prod,7.88,29.68,24,960.0,500.0,211.02,16.65,1687.67,0,6,0,low,False,0.0
2025-06-16,i-prod-0111,m5.4xlarge,us-west-2,prod,44.25,64.25,24,1728.0,400.0,12.43,6.98,2147.41,0,6,0,normal,False,0.0
2025-08-27,i-dev-0050,t3.large,ap-southeast-1,dev,0.1,13.63,24,192.0,50.0,12.84,13.84,268.68,2,8,0,idle,True,268.68
2025-10-31,i-stag-0138,t3.medium,ap-south-1,staging,61.8,82.09,12,57.13,25.0,11.74,6.15,100.02,4,10,0,normal,False,0.0
2026-04-10,i-dev-0032,t3.medium,ap-south-1,dev,6.36,18.68,24,96.0,25.0,0.46,16.46,137.92,4,4,0,low,False,0.0
2026-01-31,i-dev-0110,t3.large,us-east-1,dev,10.18,30.75,0,0.0,50.0,12.91,6.96,69.87,5,1,1,low,False,0.0
2025-11-17,i-dev-0067,t3.medium,ap-south-1,dev,0.72,18.17,24,96.0,25.0,13.92,21.44,156.36,0,11,0,idle,True,156.36
2025-10-05,i-prod-0108,m5.2xlarge,ap-southeast-1,prod,36.54,45.17,24,816.31,200.0,89.13,10.55,1115.99,6,10,1,normal,False,0.0
2026-04-20,i-test-0020,t3.medium,ap-southeast-1,test,3.12,19.49,24,96.0,25.0,2.82,5.0,128.82,0,4,0,idle,True,128.82
2026-03-17,i-dev-0119,t3.medium,us-west-2,dev,36.79,44.68,10,40.0,25.0,6.49,8.76,80.25,1,3,0,normal,False,0.0
2025-08-13,i-prod-0011,p3.2xlarge,us-east-1,prod,64.58,76.31,24,6000.0,250.0,248.5,21.14,6519.64,2,8,0,normal,False,0.0
2025-06-18,i-dev-0078,t3.large,ap-south-1,dev,60.07,80.91,10,80.0,50.0,2.46,21.31,153.77,2,6,0,normal,False,0.0
2025-11-22,i-prod-0048,m5.xlarge,us-west-2,prod,57.02,79.82,24,402.58,100.0,52.13,14.49,569.2,5,11,1,normal,False,0.0
2026-01-22,i-stag-0074,db.m5.large,us-west-2,staging,45.93,53.68,10,400.0,500.0,7.57,11.01,918.58,3,1,0,normal,False,0.0
2025-10-24,i-test-0073,t3.medium,ap-south-1,test,11.23,30.68,24,88.32,25.0,4.53,18.9,136.75,4,10,0,low,False,0.0
2025-11-25,i-dev-0086,m5.2xlarge,eu-west-1,dev,4.55,9.62,24,864.0,200.0,4.19,8.36,1076.55,1,11,0,idle,True,1076.55
2025-09-17,i-dev-0149,c5.2xlarge,ap-southeast-1,dev,37.29,44.75,10,300.0,100.0,11.83,5.58,417.41,2,9,0,normal,False,0.0
2026-03-14,i-test-0042,t3.medium,ap-south-1,test,0.1,13.88,24,82.18,25.0,3.22,22.31,132.71,5,3,1,idle,True,132.71
2025-09-12,i-test-0039,t3.large,ap-south-1,test,7.0,26.98,10,80.0,50.0,16.85,12.33,159.18,4,9,0,low,False,0.0
2026-01-13,i-stag-0010,m5.xlarge,ap-southeast-1,staging,3.28,14.77,24,432.0,100.0,37.37,6.91,576.28,1,1,0,idle,True,576.28
2025-10-28,i-stag-0131,t3.large,eu-west-1,staging,59.41,70.22,12,88.32,50.0,2.07,21.09,161.48,1,10,0,normal,False,0.0
2025-09-16,i-test-0148,t3.medium,eu-west-1,test,14.86,34.06,10,40.0,25.0,4.07,17.64,86.71,1,9,0,low,False,0.0
2025-10-26,i-prod-0143,m5.4xlarge,eu-west-1,prod,47.89,66.88,24,1416.82,400.0,41.99,19.98,1878.79,6,10,1,normal,False,0.0
2026-01-14,i-test-0118,t3.medium,us-east-1,test,46.8,60.7,10,40.0,25.0,4.09,22.36,91.45,2,1,0,normal,False,0.0
2026-03-05,i-test-0042,t3.medium,ap-south-1,test,2.85,15.22,24,96.0,25.0,20.29,13.41,154.7,3,3,0,idle,True,154.7
2025-05-30,i-prod-0120,p3.2xlarge,ap-south-1,prod,64.23,84.01,24,7284.76,250.0,217.05,13.96,7765.77,4,5,0,normal,False,0.0
2025-12-24,i-dev-0027,t3.large,ap-southeast-1,dev,6.72,19.13,10,80.0,50.0,5.25,5.83,141.08,2,12,0,low,False,0.0
2025-11-30,i-stag-0013,m5.2xlarge,ap-south-1,staging,51.67,72.44,0,0.0,200.0,19.54,8.68,228.22,6,11,1,normal,False,0.0
2025-10-14,i-prod-0134,c5.4xlarge,us-east-1,prod,15.58,32.22,24,1440.0,200.0,47.83,21.16,1708.99,1,10,0,low,False,0.0
2025-09-10,i-prod-0137,m5.4xlarge,us-west-2,prod,43.2,66.91,24,1728.0,400.0,104.85,12.46,2245.31,2,9,0,normal,False,0.0
2025-08-13,i-dev-0027,t3.large,ap-southeast-1,dev,8.6,23.58,12,96.0,50.0,4.03,22.2,172.23,2,8,0,low,False,0.0
2026-05-03,i-prod-0083,m5.2xlarge,ap-southeast-1,prod,34.65,43.45,24,801.14,200.0,73.48,20.65,1095.27,6,5,1,normal,False,0.0
2026-02-12,i-dev-0058,t3.medium,us-east-1,dev,66.77,74.42,12,48.0,25.0,16.59,11.94,101.53,3,2,0,normal,False,0.0
2025-05-31,i-prod-0109,c5.2xlarge,us-east-1,prod,37.51,43.25,24,849.75,100.0,72.35,19.1,1041.2,5,5,1,normal,False,0.0
2026-02-18,i-dev-0085,t3.medium,us-east-1,dev,44.8,61.09,12,48.0,25.0,0.17,14.13,87.3,2,2,0,normal,False,0.0
2026-01-12,i-stag-0029,m5.xlarge,eu-west-1,staging,48.47,58.22,12,216.0,100.0,30.3,5.8,352.1,0,1,0,normal,False,0.0
2025-09-20,i-prod-0028,c5.2xlarge,eu-west-1,prod,58.56,72.76,24,627.27,100.0,109.55,8.41,845.23,5,9,1,normal,False,0.0
2025-06-07,i-prod-0100,c5.2xlarge,us-east-1,prod,12.2,27.76,24,671.92,100.0,23.81,23.17,818.9,5,6,1,low,False,0.0
2026-01-16,i-test-0098,t3.large,eu-west-1,test,7.75,23.55,12,96.0,50.0,17.02,20.44,183.46,4,1,0,low,False,0.0
2025-08-07,i-stag-0096,c5.2xlarge,us-east-1,staging,64.63,82.38,14,420.0,100.0,8.14,11.69,539.83,3,8,0,normal,False,0.0
2026-05-12,i-prod-0081,db.r5.xlarge,eu-west-1,prod,64.02,73.58,24,2160.0,1000.0,288.05,17.06,3465.11,1,5,0,normal,False,0.0
2026-01-12,i-prod-0070,c5.2xlarge,ap-southeast-1,prod,63.38,76.75,24,720.0,100.0,22.93,17.6,860.53,0,1,0,normal,False,0.0
2025-06-04,i-stag-0071,t3.medium,us-east-1,staging,51.09,75.45,14,56.0,25.0,38.49,7.73,127.22,2,6,0,normal,False,0.0
2025-07-15,i-prod-0054,c5.4xlarge,us-west-2,prod,46.79,69.08,24,1440.0,200.0,52.56,6.02,1698.58,1,7,0,normal,False,0.0
2026-04-28,i-dev-0038,t3.medium,us-west-2,dev,50.38,62.05,10,49.61,25.0,7.89,10.23,92.73,1,4,0,normal,False,0.0
2025-11-08,i-prod-0024,r5.2xlarge,ap-southeast-1,prod,44.5,50.14,24,979.86,300.0,11.58,8.57,1300.01,5,11,1,normal,False,0.0
2026-03-09,i-dev-0095,t3.large,eu-west-1,dev,1.64,15.07,24,192.0,50.0,2.29,5.96,250.25,0,3,0,idle,True,250.25
2025-05-27,i-stag-0037,m5.xlarge,eu-west-1,staging,53.89,70.59,10,180.0,100.0,16.09,15.48,311.57,1,5,0,normal,False,0.0
2025-09-16,i-dev-0095,t3.large,eu-west-1,dev,4.39,24.35,24,192.0,50.0,10.55,14.78,267.33,1,9,0,idle,True,267.33
2025-08-28,i-prod-0018,m5.2xlarge,ap-southeast-1,prod,66.62,85.45,24,864.0,200.0,55.55,7.43,1126.98,3,8,0,normal,False,0.0
2026-01-31,i-stag-0138,t3.medium,ap-south-1,staging,57.62,80.41,0,0.0,25.0,55.38,8.31,88.69,5,1,1,normal,False,0.0
2025-07-28,i-stag-0040,t3.large,ap-south-1,staging,59.33,79.28,14,112.0,50.0,24.21,23.06,209.27,0,7,0,normal,False,0.0
2025-05-23,i-dev-0085,t3.medium,us-east-1,dev,46.06,58.89,14,56.0,25.0,9.49,15.64,106.13,4,5,0,normal,False,0.0
2026-04-30,i-test-0065,db.m5.large,ap-southeast-1,test,33.11,51.09,14,694.97,500.0,21.88,6.72,1223.57,3,4,0,normal,False,0.0
2025-11-27,i-prod-0106,p3.8xlarge,eu-west-1,prod,47.04,63.39,24,22800.0,500.0,37.57,6.39,23343.96,3,11,0,normal,False,0.0
2025-11-17,i-prod-0018,m5.2xlarge,ap-southeast-1,prod,67.25,83.13,24,864.0,200.0,59.62,6.75,1130.37,0,11,0,normal,False,0.0
2025-11-30,i-prod-0019,db.m5.large,eu-west-1,prod,55.37,69.9,24,1007.79,500.0,175.15,5.26,1688.2,6,11,1,normal,False,0.0
2025-05-23,i-prod-0024,r5.2xlarge,ap-southeast-1,prod,48.72,68.02,24,1152.0,300.0,72.01,22.91,1546.92,4,5,0,normal,False,0.0
2025-09-15,i-stag-0040,t3.large,ap-south-1,staging,70.05,91.07,14,112.0,50.0,31.1,11.25,204.35,0,9,0,high,False,0.0
2025-07-04,i-prod-0100,c5.2xlarge,us-east-1,prod,13.54,24.09,24,720.0,100.0,101.13,10.9,932.03,4,7,0,low,False,0.0
2026-05-03,i-prod-0108,m5.2xlarge,ap-southeast-1,prod,41.6,59.47,24,801.14,200.0,12.43,19.72,1033.29,6,5,1,normal,False,0.0
2025-07-31,i-test-0020,t3.medium,ap-southeast-1,test,2.82,14.65,24,119.51,25.0,6.19,17.75,168.45,3,7,0,idle,True,168.45
2026-02-25,i-prod-0133,c5.2xlarge,ap-southeast-1,prod,52.03,61.36,24,720.0,100.0,63.35,13.14,896.49,2,2,0,normal,False,0.0
2025-11-21,i-test-0124,m5.xlarge,eu-west-1,test,51.73,74.16,10,180.0,100.0,4.26,13.65,297.91,4,11,0,normal,False,0.0
2026-01-09,i-prod-0103,r5.xlarge,eu-west-1,prod,63.83,81.31,24,576.0,150.0,68.04,8.86,802.9,4,1,0,normal,False,0.0
2025-05-27,i-dev-0012,t3.medium,ap-south-1,dev,64.86,85.45,12,48.0,25.0,8.87,17.82,99.69,1,5,0,normal,False,0.0
2025-06-07,i-prod-0033,db.m5.large,eu-west-1,prod,0.1,8.94,24,895.9,500.0,117.75,5.69,1519.34,5,6,1,idle,True,1519.34
2026-02-04,i-prod-0051,m5.xlarge,us-west-2,prod,63.93,84.41,24,432.0,100.0,158.87,7.52,698.39,2,2,0,normal,False,0.0
2025-11-05,i-dev-0058,t3.medium,us-east-1,dev,62.43,74.71,10,36.8,25.0,17.91,9.56,89.27,2,11,0,normal,False,0.0
2026-04-03,i-dev-0085,t3.medium,us-east-1,dev,49.53,57.02,10,40.0,25.0,11.93,23.7,100.63,4,4,0,normal,False,0.0
2026-05-17,i-dev-0030,t3.medium,ap-southeast-1,dev,63.74,77.95,0,0.0,25.0,36.4,22.01,83.41,6,5,1,normal,False,0.0
2025-08-18,i-test-0055,t3.large,eu-west-1,test,1.93,25.62,24,192.0,50.0,20.79,6.25,269.04,0,8,0,idle,True,269.04
2026-04-26,i-prod-0137,m5.4xlarge,us-west-2,prod,44.29,61.99,24,1531.91,400.0,227.13,6.88,2165.92,6,4,1,normal,False,0.0
2026-05-12,i-prod-0087,m5.4xlarge,us-east-1,prod,48.22,71.88,24,1728.0,400.0,3.75,21.91,2153.66,1,5,0,normal,False,0.0
2025-11-18,i-test-0139,c5.2xlarge,eu-west-1,test,6.02,28.68,10,300.0,100.0,12.75,18.61,431.36,1,11,0,low,False,0.0
2025-10-22,i-stag-0029,m5.xlarge,eu-west-1,staging,47.38,70.04,10,165.6,100.0,14.66,20.35,300.61,2,10,0,normal,False,0.0
2025-11-14,i-prod-0120,p3.2xlarge,ap-south-1,prod,60.79,76.7,24,5520.0,250.0,91.06,5.66,5866.72,4,11,0,normal,False,0.0
2025-09-19,i-dev-0012,t3.medium,ap-south-1,dev,63.17,77.83,12,48.0,25.0,9.08,24.04,106.12,4,9,0,normal,False,0.0
2026-01-08,i-stag-0010,m5.xlarge,ap-southeast-1,staging,5.2,12.75,24,432.0,100.0,7.43,21.38,560.81,3,1,0,low,False,0.0
2026-02-17,i-prod-0135,m5.xlarge,ap-south-1,prod,67.21,75.2,24,432.0,100.0,28.86,6.04,566.9,1,2,0,normal,False,0.0
2025-06-25,i-test-0055,t3.large,eu-west-1,test,0.1,19.27,24,192.0,50.0,6.3,22.12,270.42,2,6,0,idle,True,270.42
2026-04-10,i-test-0044,m5.2xlarge,ap-south-1,test,61.71,80.79,14,504.0,200.0,7.45,16.92,728.37,4,4,0,normal,False,0.0
2026-01-29,i-dev-0038,t3.medium,us-west-2,dev,49.61,58.27,10,48.2,25.0,41.08,11.34,125.62,3,1,0,normal,False,0.0
2025-10-08,i-prod-0080,r5.2xlarge,ap-southeast-1,prod,9.4,23.83,24,1152.0,300.0,170.73,21.28,1644.01,2,10,0,low,False,0.0
2026-04-28,i-prod-0063,m5.xlarge,us-west-2,prod,59.69,66.72,24,535.79,100.0,11.19,13.4,660.38,1,4,0,normal,False,0.0
2026-03-26,i-test-0118,t3.medium,us-east-1,test,52.39,74.48,10,40.0,25.0,40.75,5.98,111.73,3,3,0,normal,False,0.0
2025-06-28,i-stag-0146,t3.medium,eu-west-1,staging,46.01,59.25,4,17.99,25.0,12.0,10.37,65.36,5,6,1,normal,False,0.0
2026-03-17,i-prod-0108,m5.2xlarge,ap-southeast-1,prod,42.43,51.69,24,864.0,200.0,52.68,17.77,1134.45,1,3,0,normal,False,0.0
2025-07-22,i-prod-0031,m5.2xlarge,ap-south-1,prod,39.96,47.24,24,864.0,200.0,13.57,9.31,1086.88,1,7,0,normal,False,0.0
2026-01-04,i-test-0022,t3.medium,us-west-2,test,62.55,85.73,8,28.38,25.0,18.43,21.62,93.43,6,1,1,normal,False,0.0
2026-03-14,i-prod-0021,p3.2xlarge,ap-southeast-1,prod,6.68,13.46,24,5136.18,250.0,47.3,5.47,5438.95,5,3,1,low,False,0.0
2025-11-15,i-test-0088,t3.medium,ap-south-1,test,0.1,7.13,24,78.52,25.0,2.0,8.96,114.48,5,11,1,idle,True,114.48
2025-08-29,i-prod-0024,r5.2xlarge,ap-southeast-1,prod,46.31,53.74,24,1404.48,300.0,81.46,24.98,1810.92,4,8,0,normal,False,0.0
2025-08-29,i-stag-0029,m5.xlarge,eu-west-1,staging,54.6,60.12,10,219.45,100.0,8.72,18.65,346.82,4,8,0,normal,False,0.0
2026-03-20,i-dev-0058,t3.medium,us-east-1,dev,61.72,67.77,12,48.0,25.0,4.98,14.31,92.29,4,3,0,normal,False,0.0
2025-05-27,i-dev-0086,m5.2xlarge,eu-west-1,dev,1.68,7.6,24,864.0,200.0,10.4,23.25,1097.65,1,5,0,idle,True,1097.65
2025-06-01,i-prod-0015,m5.2xlarge,eu-west-1,prod,53.12,64.03,24,793.86,200.0,63.95,23.88,1081.69,6,6,1,normal,False,0.0
2025-07-14,i-dev-0125,t3.medium,us-east-1,dev,50.48,73.76,10,40.0,25.0,11.11,15.82,91.93,0,7,0,normal,False,0.0
2026-02-07,i-dev-0078,t3.large,ap-south-1,dev,62.55,70.67,0,0.0,50.0,33.77,13.95,97.72,5,2,1,normal,False,0.0
2025-09-16,i-test-0112,t3.medium,ap-southeast-1,test,60.75,75.84,14,56.0,25.0,9.37,11.92,102.29,1,9,0,normal,False,0.0
2026-01-19,i-prod-0081,db.r5.xlarge,eu-west-1,prod,60.67,83.32,24,2160.0,1000.0,222.79,7.19,3389.98,0,1,0,normal,False,0.0
2026-02-12,i-prod-0051,m5.xlarge,us-west-2,prod,65.12,88.9,24,432.0,100.0,30.25,21.97,584.22,3,2,0,normal,False,0.0
2025-07-20,i-dev-0061,m5.2xlarge,eu-west-1,dev,21.23,44.07,4,133.13,200.0,38.28,14.17,385.58,6,7,1,normal,False,0.0
2025-12-14,i-prod-0021,p3.2xlarge,ap-southeast-1,prod,9.27,34.03,24,5373.04,250.0,95.85,15.47,5734.36,6,12,1,low,False,0.0
2025-12-21,i-prod-0002,c5.4xlarge,us-west-2,prod,14.83,23.72,24,1363.49,200.0,6.37,22.19,1592.05,6,12,1,low,False,0.0
2025-10-18,i-dev-0136,t3.medium,ap-south-1,dev,50.0,62.8,0,0.0,25.0,0.52,21.42,46.94,5,10,1,normal,False,0.0
2026-05-16,i-prod-0113,p3.8xlarge,eu-west-1,prod,48.87,68.26,24,19643.3,500.0,22.57,22.05,20187.92,5,5,1,normal,False,0.0
2026-03-06,i-prod-0128,c5.4xlarge,ap-southeast-1,prod,53.51,69.37,24,1440.0,200.0,23.26,19.71,1682.97,4,3,0,normal,False,0.0
2025-12-23,i-dev-0149,c5.2xlarge,ap-southeast-1,dev,41.02,64.48,12,360.0,100.0,11.23,8.97,480.2,1,12,0,normal,False,0.0
2026-02-27,i-prod-0033,db.m5.large,eu-west-1,prod,0.97,7.56,24,1191.86,500.0,4.22,5.88,1701.96,4,2,0,idle,True,1701.96
2025-07-28,i-test-0025,t3.large,ap-south-1,test,5.72,22.06,24,192.0,50.0,0.83,20.97,263.8,0,7,0,low,False,0.0
2025-10-14,i-test-0020,t3.medium,ap-southeast-1,test,2.49,19.44,24,96.0,25.0,6.52,9.41,136.93,1,10,0,idle,True,136.93
2025-12-21,i-stag-0076,c5.2xlarge,eu-west-1,staging,41.34,52.88,4,113.62,100.0,2.78,17.05,233.45,6,12,1,normal,False,0.0
2026-03-06,i-stag-0074,db.m5.large,us-west-2,staging,44.17,53.71,12,480.0,500.0,41.57,24.08,1045.65,4,3,0,normal,False,0.0
2026-01-06,i-prod-0080,r5.2xlarge,ap-southeast-1,prod,6.3,14.91,24,1152.0,300.0,20.39,20.74,1493.13,1,1,0,low,False,0.0
2025-06-14,i-stag-0071,t3.medium,us-east-1,staging,49.11,54.69,8,28.28,25.0,0.0,10.12,63.4,5,6,1,normal,False,0.0
2026-01-17,i-prod-0137,m5.4xlarge,us-west-2,prod,47.25,71.1,24,1523.1,400.0,40.46,5.88,1969.44,5,1,1,normal,False,0.0
2026-04-09,i-prod-0054,c5.4xlarge,us-west-2,prod,35.22,50.65,24,1440.0,200.0,21.51,6.93,1668.44,3,4,0,normal,False,0.0
2026-01-17,i-stag-0068,t3.medium,us-west-2,staging,61.04,69.47,0,0.0,25.0,22.19,10.93,58.12,5,1,1,normal,False,0.0
2025-09-26,i-stag-0009,t3.large,us-west-2,staging,64.4,75.33,12,96.0,50.0,20.14,17.08,183.22,4,9,0,normal,False,0.0
2025-08-21,i-stag-0029,m5.xlarge,eu-west-1,staging,56.76,65.49,10,180.0,100.0,24.48,17.88,322.36,3,8,0,normal,False,0.0
2025-11-15,i-prod-0128,c5.4xlarge,ap-southeast-1,prod,53.83,66.47,24,1177.78,200.0,12.69,18.85,1409.32,5,11,1,normal,False,0.0
2025-08-13,i-prod-0127,r5.2xlarge,eu-west-1,prod,55.65,72.49,24,1152.0,300.0,5.2,14.14,1471.34,2,8,0,normal,False,0.0
2025-09-22,i-prod-0108,m5.2xlarge,ap-southeast-1,prod,47.11,54.19,24,864.0,200.0,53.87,15.1,1132.97,0,9,0,normal,False,0.0
2026-05-13,i-prod-0111,m5.4xlarge,us-west-2,prod,45.64,59.04,24,1728.0,400.0,51.67,21.91,2201.58,2,5,0,normal,False,0.0
2026-03-25,i-prod-0134,c5.4xlarge,us-east-1,prod,17.95,24.08,24,1440.0,200.0,30.89,10.44,1681.33,2,3,0,low,False,0.0
2025-06-25,i-dev-0117,t3.large,us-west-2,dev,52.68,72.98,10,80.0,50.0,22.4,12.7,165.1,2,6,0,normal,False,0.0
2025-08-17,i-stag-0096,c5.2xlarge,us-east-1,staging,62.08,85.47,4,111.35,100.0,10.77,13.87,235.99,6,8,1,normal,False,0.0
2025-07-08,i-dev-0007,t3.medium,ap-southeast-1,dev,41.62,49.42,14,56.0,25.0,0.57,6.86,88.43,1,7,0,normal,False,0.0
2026-05-04,i-prod-0137,m5.4xlarge,us-west-2,prod,46.01,67.31,24,1728.0,400.0,98.54,20.31,2246.85,0,5,0,normal,False,0.0
2025-11-10,i-prod-0051,m5.xlarge,us-west-2,prod,63.92,73.02,24,397.44,100.0,240.62,13.81,751.87,0,11,0,normal,False,0.0
2025-06-05,i-stag-0145,t3.large,us-east-1,staging,47.29,55.49,10,80.0,50.0,2.14,12.63,144.77,3,6,0,normal,False,0.0
2025-06-16,i-dev-0058,t3.medium,us-east-1,dev,67.07,78.08,10,40.0,25.0,3.62,22.82,91.44,0,6,0,normal,False,0.0
2026-05-06,i-test-0140,t3.medium,us-west-2,test,61.04,74.15,10,40.0,25.0,17.52,7.84,90.36,2,5,0,normal,False,0.0
