user_id,employee_name,department,tool,license_type,monthly_cost_inr,logins_last_30d,active_days_last_30d,last_login_date,assigned_date,truly_unused,has_ever_logged_in,days_since_last_login,usage_category,annual_cost_inr,is_recommendation_candidate
u-00011,Employee 11,Engineering,Slack,Enterprise,1680,64,24,2026-05-21,2023-12-08,0,True,1,active,20160,False
u-00011,Employee 11,Engineering,Jira,Standard,1500,38,10,2026-05-20,2025-07-11,0,True,2,active,18000,False
u-00012,Employee 12,Engineering,Notion,Standard,900,32,15,2026-05-19,2024-03-16,0,True,3,active,10800,False
u-00012,Employee 12,Engineering,Figma,Premium,2080,32,19,2026-05-22,2024-12-22,0,True,0,active,24960,False
u-00013,Employee 13,Operations,GitHub,Standard,1800,1,0,2026-05-08,2024-04-02,1,True,14,low,21600,True
u-00013,Employee 13,Operations,Figma,Premium,2080,1,1,2026-04-23,2026-01-04,1,True,29,low,24960,True
u-00014,Employee 14,Sales,HubSpot,Standard,4500,1,1,2026-04-18,2024-04-17,0,True,34,low,54000,True
u-00014,Employee 14,Sales,GitHub,Standard,1800,43,20,2026-05-22,2025-07-02,0,True,0,active,21600,False
u-00014,Employee 14,Sales,Salesforce,Standard,12000,68,23,2026-05-20,2025-08-04,0,True,2,active,144000,False
u-00015,Employee 15,Design,Slack,Standard,700,46,11,2026-05-20,2024-11-28,0,True,2,active,8400,False
u-00016,Employee 16,HR,Notion,Enterprise,2160,101,28,2026-05-21,2024-10-03,0,True,1,active,25920,False
u-00016,Employee 16,HR,GitHub,Standard,1800,66,23,2026-05-21,2024-07-19,0,True,1,active,21600,False
u-00017,Employee 17,Finance,Slack,Standard,700,0,1,,2025-06-16,0,False,999,unused,8400,True
u-00018,Employee 18,Sales,Jira,Standard,1500,2,0,2026-05-08,2024-08-13,1,True,14,low,18000,True
u-00018,Employee 18,Sales,Figma,Standard,1300,1,1,2026-04-23,2024-03-08,1,True,29,low,15600,True
u-00019,Employee 19,HR,Slack,Standard,700,119,28,2026-05-21,2024-05-03,0,True,1,active,8400,False
u-00019,Employee 19,HR,Figma,Premium,2080,1,0,2026-05-06,2024-08-24,1,True,16,low,24960,True
u-00020,Employee 20,Finance,Slack,Standard,700,37,29,2026-05-22,2024-01-09,0,True,0,active,8400,False
u-00021,Employee 21,Design,GitHub,Standard,1800,3,0,2026-04-15,2024-08-04,0,True,37,low,21600,True
u-00021,Employee 21,Design,Jira,Premium,2400,104,29,2026-05-22,2023-12-29,0,True,0,active,28800,False
u-00022,Employee 22,Operations,Zoom,Premium,1920,0,1,,2024-01-08,0,False,999,unused,23040,True
u-00022,Employee 22,Operations,HubSpot,Premium,7200,21,15,2026-05-19,2024-11-07,0,True,3,active,86400,False
u-00023,Employee 23,Operations,Jira,Standard,1500,1,1,2026-04-26,2025-12-18,1,True,26,low,18000,True
u-00023,Employee 23,Operations,Notion,Standard,900,43,11,2026-05-19,2025-02-20,0,True,3,active,10800,False
u-00024,Employee 24,HR,Slack,Standard,700,73,14,2026-05-19,2025-01-03,0,True,3,active,8400,False
u-00025,Employee 25,Marketing,Jira,Premium,2400,113,19,2026-05-22,2024-05-01,0,True,0,active,28800,False
u-00025,Employee 25,Marketing,Slack,Standard,700,51,28,2026-05-20,2024-07-06,0,True,2,active,8400,False
u-00026,Employee 26,Legal,Figma,Standard,1300,105,22,2026-05-21,2024-08-10,0,True,1,active,15600,False
u-00027,Employee 27,HR,Jira,Standard,1500,114,25,2026-05-19,2026-01-27,0,True,3,active,18000,False
u-00028,Employee 28,Operations,Salesforce,Standard,12000,55,28,2026-05-19,2025-05-18,0,True,3,active,144000,False
u-00028,Employee 28,Operations,Slack,Premium,1120,56,14,2026-05-19,2026-04-13,0,True,3,active,13440,False
u-00028,Employee 28,Operations,HubSpot,Standard,4500,0,0,,2024-04-16,1,False,999,unused,54000,True
u-00028,Employee 28,Operations,Zoom,Standard,1200,116,12,2026-05-21,2024-08-30,0,True,1,active,14400,False
u-00029,Employee 29,Design,GitHub,Standard,1800,26,21,2026-05-19,2025-01-01,0,True,3,active,21600,False
u-00029,Employee 29,Design,Salesforce,Standard,12000,112,21,2026-05-21,2025-06-17,0,True,1,active,144000,False
u-00030,Employee 30,Finance,Notion,Standard,900,91,29,2026-05-21,2024-08-05,0,True,1,active,10800,False
u-00030,Employee 30,Finance,Slack,Standard,700,32,20,2026-05-20,2025-04-20,0,True,2,active,8400,False
u-00031,Employee 31,Legal,Figma,Standard,1300,1,0,2026-05-08,2026-01-14,1,True,14,low,15600,True
u-00031,Employee 31,Legal,Notion,Standard,900,59,15,2026-05-21,2024-06-30,0,True,1,active,10800,False
u-00032,Employee 32,Legal,Zoom,Standard,1200,64,14,2026-05-21,2025-02-16,0,True,1,active,14400,False
u-00032,Employee 32,Legal,HubSpot,Standard,4500,58,18,2026-05-22,2024-05-21,0,True,0,active,54000,False
u-00032,Employee 32,Legal,Slack,Standard,700,37,15,2026-05-20,2026-03-03,0,True,2,active,8400,False
u-00032,Employee 32,Legal,Notion,Standard,900,50,17,2026-05-21,2024-05-05,0,True,1,active,10800,False
u-00033,Employee 33,HR,Figma,Standard,1300,64,14,2026-05-19,2026-04-01,0,True,3,active,15600,False
u-00034,Employee 34,Design,Notion,Standard,900,67,26,2026-05-22,2023-12-23,0,True,0,active,10800,False
u-00035,Employee 35,Finance,Zoom,Premium,1920,0,0,,2024-10-04,1,False,999,unused,23040,True
u-00035,Employee 35,Finance,GitHub,Enterprise,4320,29,27,2026-05-19,2025-10-15,0,True,3,active,51840,False
u-00035,Employee 35,Finance,Jira,Standard,1500,48,18,2026-05-19,2024-11-29,0,True,3,active,18000,False
u-00036,Employee 36,Engineering,Salesforce,Standard,12000,2,1,2026-05-08,2024-12-18,1,True,14,low,144000,True
u-00036,Employee 36,Engineering,Figma,Enterprise,3120,3,0,2026-03-27,2025-11-13,0,True,56,low,37440,True
u-00037,Employee 37,Engineering,Zoom,Premium,1920,107,18,2026-05-21,2025-05-25,0,True,1,active,23040,False
u-00037,Employee 37,Engineering,Notion,Premium,1440,60,11,2026-05-22,2024-06-01,0,True,0,active,17280,False
u-00037,Employee 37,Engineering,Slack,Standard,700,56,13,2026-05-20,2025-06-06,0,True,2,active,8400,False
u-00038,Employee 38,Design,Slack,Standard,700,112,10,2026-05-19,2024-12-25,0,True,3,active,8400,False
u-00038,Employee 38,Design,Jira,Standard,1500,26,12,2026-05-22,2025-12-31,0,True,0,active,18000,False
u-00039,Employee 39,Design,HubSpot,Standard,4500,89,12,2026-05-19,2024-05-29,0,True,3,active,54000,False
u-00039,Employee 39,Design,GitHub,Premium,2880,18,14,2026-05-20,2024-03-26,0,True,2,active,34560,False
u-00040,Employee 40,HR,Salesforce,Enterprise,28800,6,2,2026-05-10,2024-07-10,1,True,12,low,345600,True
u-00040,Employee 40,HR,Notion,Premium,1440,78,12,2026-05-20,2026-01-18,0,True,2,active,17280,False
u-00040,Employee 40,HR,Figma,Enterprise,3120,0,0,,2025-10-11,1,False,999,unused,37440,True
u-00040,Employee 40,HR,HubSpot,Premium,7200,68,25,2026-05-20,2024-07-25,0,True,2,active,86400,False
u-00041,Employee 41,HR,Notion,Standard,900,83,19,2026-05-22,2024-03-18,0,True,0,active,10800,False
u-00041,Employee 41,HR,Salesforce,Premium,19200,106,22,2026-05-19,2025-05-26,0,True,3,active,230400,False
u-00041,Employee 41,HR,Zoom,Standard,1200,3,1,2026-04-20,2025-10-30,0,True,32,low,14400,True
u-00041,Employee 41,HR,Jira,Enterprise,3600,90,20,2026-05-20,2024-08-13,0,True,2,active,43200,False
u-00042,Employee 42,Marketing,HubSpot,Enterprise,10800,112,24,2026-05-22,2026-01-14,0,True,0,active,129600,False
u-00042,Employee 42,Marketing,Salesforce,Enterprise,28800,44,21,2026-05-19,2025-09-07,0,True,3,active,345600,False
u-00042,Employee 42,Marketing,Notion,Standard,900,66,22,2026-05-22,2025-05-29,0,True,0,active,10800,False
u-00043,Employee 43,HR,Zoom,Standard,1200,1,0,2026-05-02,2025-05-11,1,True,20,low,14400,True
u-00043,Employee 43,HR,GitHub,Premium,2880,57,12,2026-05-21,2025-12-17,0,True,1,active,34560,False
u-00044,Employee 44,Engineering,GitHub,Standard,1800,34,27,2026-05-22,2024-07-12,0,True,0,active,21600,False
u-00044,Employee 44,Engineering,Figma,Standard,1300,88,18,2026-05-20,2026-01-31,0,True,2,active,15600,False
u-00044,Employee 44,Engineering,Notion,Standard,900,107,24,2026-05-22,2025-12-21,0,True,0,active,10800,False
u-00045,Employee 45,Finance,Zoom,Standard,1200,34,19,2026-05-20,2025-09-24,0,True,2,active,14400,False
u-00045,Employee 45,Finance,HubSpot,Standard,4500,73,27,2026-05-22,2024-09-23,0,True,0,active,54000,False
u-00046,Employee 46,Marketing,Salesforce,Standard,12000,61,10,2026-05-21,2026-01-13,0,True,1,active,144000,False
u-00046,Employee 46,Marketing,GitHub,Premium,2880,103,26,2026-05-21,2024-11-19,0,True,1,active,34560,False
u-00046,Employee 46,Marketing,Zoom,Enterprise,2880,2,1,2026-04-24,2025-09-25,0,True,28,low,34560,True
u-00047,Employee 47,Legal,Salesforce,Premium,19200,107,16,2026-05-21,2024-08-11,0,True,1,active,230400,False
u-00048,Employee 48,Engineering,Notion,Standard,900,69,25,2026-05-22,2026-04-19,0,True,0,active,10800,False
u-00048,Employee 48,Engineering,Figma,Enterprise,3120,17,20,2026-05-21,2024-01-07,0,True,1,active,37440,False
u-00048,Employee 48,Engineering,Zoom,Premium,1920,107,25,2026-05-20,2024-07-30,0,True,2,active,23040,False
u-00048,Employee 48,Engineering,Slack,Premium,1120,1,1,2026-04-25,2025-02-03,0,True,27,low,13440,True
u-00049,Employee 49,Sales,Jira,Premium,2400,1,0,2026-05-06,2025-08-15,1,True,16,low,28800,True
u-00049,Employee 49,Sales,GitHub,Standard,1800,107,10,2026-05-21,2024-02-07,0,True,1,active,21600,False
u-00050,Employee 50,Engineering,Slack,Standard,700,106,23,2026-05-21,2024-09-28,0,True,1,active,8400,False
u-00050,Employee 50,Engineering,Notion,Standard,900,96,15,2026-05-19,2025-09-26,0,True,3,active,10800,False
u-00051,Employee 51,Legal,Slack,Standard,700,22,28,2026-05-19,2024-03-12,0,True,3,active,8400,False
u-00052,Employee 52,Marketing,Zoom,Standard,1200,111,16,2026-05-19,2024-11-04,0,True,3,active,14400,False
u-00053,Employee 53,Legal,Zoom,Enterprise,2880,18,13,2026-05-20,2025-04-06,0,True,2,active,34560,False
u-00053,Employee 53,Legal,HubSpot,Enterprise,10800,40,29,2026-05-21,2023-12-27,0,True,1,active,129600,False
u-00054,Employee 54,Design,Jira,Standard,1500,43,16,2026-05-19,2024-12-09,0,True,3,active,18000,False
u-00054,Employee 54,Design,GitHub,Standard,1800,75,22,2026-05-20,2024-02-02,0,True,2,active,21600,False
u-00054,Employee 54,Design,Notion,Premium,1440,96,26,2026-05-19,2026-03-12,0,True,3,active,17280,False
u-00055,Employee 55,Finance,GitHub,Premium,2880,2,0,2026-04-30,2026-01-25,1,True,22,low,34560,True
u-00055,Employee 55,Finance,Jira,Premium,2400,39,17,2026-05-20,2025-06-23,0,True,2,active,28800,False
u-00055,Employee 55,Finance,Notion,Standard,900,18,13,2026-05-20,2024-12-21,0,True,2,active,10800,False
u-00056,Employee 56,Operations,HubSpot,Premium,7200,0,1,,2025-07-20,0,False,999,unused,86400,True
u-00056,Employee 56,Operations,GitHub,Standard,1800,71,24,2026-05-19,2025-01-23,0,True,3,active,21600,False
u-00057,Employee 57,Legal,Slack,Standard,700,0,0,,2024-10-27,0,False,999,unused,8400,True
u-00057,Employee 57,Legal,HubSpot,Premium,7200,7,2,2026-05-18,2024-07-04,1,True,4,low,86400,True
u-00057,Employee 57,Legal,Figma,Standard,1300,0,0,,2024-08-15,1,False,999,unused,15600,True
u-00058,Employee 58,Engineering,Notion,Standard,900,83,28,2026-05-20,2024-12-28,0,True,2,active,10800,False
u-00059,Employee 59,Sales,Jira,Premium,2400,6,4,2026-05-17,2025-06-19,1,True,5,active,28800,False
u-00059,Employee 59,Sales,GitHub,Standard,1800,31,27,2026-05-20,2023-12-29,0,True,2,active,21600,False
u-00060,Employee 60,Finance,Salesforce,Standard,12000,94,11,2026-05-19,2025-08-17,0,True,3,active,144000,False
u-00060,Employee 60,Finance,HubSpot,Standard,4500,46,15,2026-05-19,2024-09-12,0,True,3,active,54000,False
u-00060,Employee 60,Finance,Notion,Standard,900,0,0,,2026-04-20,1,False,999,unused,10800,True
u-00061,Employee 61,Sales,Jira,Standard,1500,113,21,2026-05-21,2024-11-29,0,True,1,active,18000,False
u-00061,Employee 61,Sales,Salesforce,Standard,12000,21,18,2026-05-19,2024-06-27,0,True,3,active,144000,False
u-00061,Employee 61,Sales,Figma,Premium,2080,28,17,2026-05-19,2024-01-15,0,True,3,active,24960,False
u-00061,Employee 61,Sales,Zoom,Premium,1920,34,19,2026-05-22,2025-05-01,0,True,0,active,23040,False
u-00062,Employee 62,Engineering,Jira,Standard,1500,45,12,2026-05-21,2025-03-14,0,True,1,active,18000,False
u-00063,Employee 63,HR,HubSpot,Premium,7200,0,0,,2025-06-20,1,False,999,unused,86400,True
u-00064,Employee 64,Finance,Zoom,Premium,1920,0,0,,2025-03-19,1,False,999,unused,23040,True
u-00065,Employee 65,Legal,Jira,Standard,1500,1,0,2026-05-07,2024-11-24,1,True,15,low,18000,True
u-00065,Employee 65,Legal,Figma,Standard,1300,2,0,2026-05-02,2024-07-26,1,True,20,low,15600,True
u-00066,Employee 66,Legal,Figma,Standard,1300,1,1,2026-05-07,2024-08-14,1,True,15,low,15600,True
u-00066,Employee 66,Legal,Slack,Standard,700,2,0,2026-05-05,2026-02-22,1,True,17,low,8400,True
u-00067,Employee 67,Engineering,Slack,Enterprise,1680,104,18,2026-05-22,2024-01-08,0,True,0,active,20160,False
u-00068,Employee 68,Design,Notion,Standard,900,29,15,2026-05-21,2024-10-08,0,True,1,active,10800,False
u-00069,Employee 69,Design,Figma,Premium,2080,46,10,2026-05-22,2025-09-20,0,True,0,active,24960,False
u-00069,Employee 69,Design,Jira,Standard,1500,2,0,2026-04-25,2025-11-10,1,True,27,low,18000,True
u-00070,Employee 70,Sales,Slack,Standard,700,103,21,2026-05-19,2024-12-20,0,True,3,active,8400,False
u-00071,Employee 71,Sales,Figma,Premium,2080,102,20,2026-05-21,2025-11-09,0,True,1,active,24960,False
u-00071,Employee 71,Sales,Notion,Standard,900,1,0,2026-05-10,2025-01-12,1,True,12,low,10800,True
u-00071,Employee 71,Sales,Zoom,Premium,1920,37,17,2026-05-22,2025-06-20,0,True,0,active,23040,False
u-00071,Employee 71,Sales,Salesforce,Standard,12000,40,22,2026-05-21,2024-01-01,0,True,1,active,144000,False
u-00072,Employee 72,Finance,Jira,Premium,2400,74,15,2026-05-20,2026-02-21,0,True,2,active,28800,False
u-00072,Employee 72,Finance,Slack,Standard,700,62,15,2026-05-19,2026-02-01,0,True,3,active,8400,False
u-00073,Employee 73,Legal,Zoom,Standard,1200,27,17,2026-05-20,2026-01-18,0,True,2,active,14400,False
u-00073,Employee 73,Legal,Jira,Premium,2400,0,0,,2024-01-12,1,False,999,unused,28800,True
u-00074,Employee 74,Marketing,GitHub,Premium,2880,99,13,2026-05-21,2024-03-23,0,True,1,active,34560,False
u-00075,Employee 75,Legal,Jira,Standard,1500,0,0,,2025-09-04,1,False,999,unused,18000,True
u-00075,Employee 75,Legal,Figma,Premium,2080,97,22,2026-05-21,2025-12-18,0,True,1,active,24960,False
u-00076,Employee 76,Engineering,HubSpot,Premium,7200,2,0,2026-04-13,2024-01-24,0,True,39,low,86400,True
u-00076,Employee 76,Engineering,Figma,Standard,1300,25,18,2026-05-20,2025-06-24,0,True,2,active,15600,False
u-00076,Employee 76,Engineering,GitHub,Standard,1800,62,21,2026-05-21,2026-03-23,0,True,1,active,21600,False
u-00076,Employee 76,Engineering,Salesforce,Standard,12000,2,1,2026-04-25,2025-03-02,1,True,27,low,144000,True
u-00077,Employee 77,Sales,Salesforce,Standard,12000,39,11,2026-05-19,2024-09-04,0,True,3,active,144000,False
u-00077,Employee 77,Sales,HubSpot,Standard,4500,55,17,2026-05-21,2025-06-18,0,True,1,active,54000,False
u-00078,Employee 78,Finance,Zoom,Standard,1200,119,14,2026-05-22,2024-05-11,0,True,0,active,14400,False
u-00078,Employee 78,Finance,Jira,Premium,2400,28,25,2026-05-19,2024-07-15,0,True,3,active,28800,False
u-00079,Employee 79,Legal,HubSpot,Standard,4500,1,1,2026-03-27,2025-11-27,0,True,56,low,54000,True
u-00079,Employee 79,Legal,Slack,Premium,1120,88,28,2026-05-19,2025-05-02,0,True,3,active,13440,False
u-00080,Employee 80,Design,Salesforce,Standard,12000,74,27,2026-05-20,2024-11-15,0,True,2,active,144000,False
u-00080,Employee 80,Design,Slack,Standard,700,1,0,2026-05-04,2024-07-29,1,True,18,low,8400,True
u-00081,Employee 81,Design,Salesforce,Premium,19200,61,28,2026-05-21,2024-04-25,0,True,1,active,230400,False
u-00082,Employee 82,Design,GitHub,Standard,1800,94,25,2026-05-20,2024-06-17,0,True,2,active,21600,False
u-00082,Employee 82,Design,Figma,Enterprise,3120,85,25,2026-05-22,2024-04-06,0,True,0,active,37440,False
u-00083,Employee 83,Legal,GitHub,Premium,2880,92,28,2026-05-22,2025-09-03,0,True,0,active,34560,False
u-00083,Employee 83,Legal,Jira,Standard,1500,81,22,2026-05-21,2023-12-31,0,True,1,active,18000,False
u-00083,Employee 83,Legal,Notion,Standard,900,65,25,2026-05-20,2024-10-25,0,True,2,active,10800,False
u-00084,Employee 84,Legal,Zoom,Standard,1200,103,14,2026-05-20,2023-12-29,0,True,2,active,14400,False
u-00085,Employee 85,Finance,GitHub,Standard,1800,1,0,2026-04-28,2024-06-07,1,True,24,low,21600,True
u-00085,Employee 85,Finance,Slack,Standard,700,58,10,2026-05-19,2025-06-07,0,True,3,active,8400,False
u-00086,Employee 86,Sales,Salesforce,Standard,12000,57,26,2026-05-20,2024-06-26,0,True,2,active,144000,False
u-00086,Employee 86,Sales,Notion,Standard,900,77,17,2026-05-21,2025-08-25,0,True,1,active,10800,False
u-00087,Employee 87,Operations,Salesforce,Premium,19200,5,4,2026-05-09,2026-01-21,1,True,13,active,230400,False
u-00088,Employee 88,Sales,HubSpot,Standard,4500,0,0,,2025-12-14,1,False,999,unused,54000,True
u-00089,Employee 89,Marketing,Salesforce,Standard,12000,117,17,2026-05-19,2025-02-22,0,True,3,active,144000,False
u-00089,Employee 89,Marketing,GitHub,Standard,1800,2,0,2026-04-26,2026-04-20,1,True,26,low,21600,True
u-00090,Employee 90,Engineering,Zoom,Standard,1200,26,16,2026-05-22,2024-07-03,0,True,0,active,14400,False
u-00090,Employee 90,Engineering,Salesforce,Standard,12000,72,13,2026-05-19,2024-04-23,0,True,3,active,144000,False
u-00091,Employee 91,Engineering,Jira,Premium,2400,3,0,2026-04-18,2024-03-13,0,True,34,low,28800,True
u-00091,Employee 91,Engineering,HubSpot,Standard,4500,0,0,,2026-01-26,1,False,999,unused,54000,True
u-00091,Employee 91,Engineering,Salesforce,Standard,12000,2,1,2026-05-07,2024-06-01,1,True,15,low,144000,True
u-00092,Employee 92,Finance,Salesforce,Standard,12000,2,1,2026-05-03,2024-08-29,1,True,19,low,144000,True
u-00092,Employee 92,Finance,GitHub,Standard,1800,76,17,2026-05-19,2025-12-21,0,True,3,active,21600,False
u-00093,Employee 93,Engineering,Figma,Standard,1300,5,4,2026-05-19,2024-01-20,1,True,3,active,15600,False
u-00093,Employee 93,Engineering,Notion,Standard,900,2,1,2026-05-07,2025-10-10,1,True,15,low,10800,True
u-00093,Employee 93,Engineering,GitHub,Standard,1800,68,26,2026-05-21,2025-04-09,0,True,1,active,21600,False
u-00094,Employee 94,Operations,GitHub,Enterprise,4320,35,10,2026-05-21,2024-01-14,0,True,1,active,51840,False
u-00094,Employee 94,Operations,Slack,Premium,1120,34,23,2026-05-20,2025-01-23,0,True,2,active,13440,False
u-00094,Employee 94,Operations,Notion,Standard,900,2,0,2026-05-10,2024-08-17,1,True,12,low,10800,True
u-00094,Employee 94,Operations,Zoom,Premium,1920,97,14,2026-05-22,2025-12-25,0,True,0,active,23040,False
u-00095,Employee 95,Finance,GitHub,Standard,1800,1,0,2026-04-29,2025-11-11,1,True,23,low,21600,True
u-00095,Employee 95,Finance,Jira,Enterprise,3600,21,21,2026-05-20,2026-03-16,0,True,2,active,43200,False
u-00095,Employee 95,Finance,Slack,Premium,1120,88,20,2026-05-21,2026-02-04,0,True,1,active,13440,False
u-00096,Employee 96,HR,HubSpot,Standard,4500,27,15,2026-05-20,2024-03-04,0,True,2,active,54000,False
u-00096,Employee 96,HR,Zoom,Standard,1200,36,23,2026-05-21,2024-05-13,0,True,1,active,14400,False
u-00097,Employee 97,Engineering,Salesforce,Premium,19200,0,0,,2025-06-06,1,False,999,unused,230400,True
u-00097,Employee 97,Engineering,Jira,Standard,1500,58,20,2026-05-22,2026-01-24,0,True,0,active,18000,False
u-00097,Employee 97,Engineering,GitHub,Standard,1800,37,28,2026-05-21,2024-09-26,0,True,1,active,21600,False
u-00098,Employee 98,Engineering,Slack,Standard,700,89,23,2026-05-20,2024-06-23,0,True,2,active,8400,False
u-00098,Employee 98,Engineering,GitHub,Premium,2880,61,26,2026-05-20,2024-09-19,0,True,2,active,34560,False
u-00099,Employee 99,Finance,GitHub,Premium,2880,2,1,2026-04-27,2024-11-10,1,True,25,low,34560,True
u-00099,Employee 99,Finance,Slack,Standard,700,23,19,2026-05-20,2024-03-31,0,True,2,active,8400,False
u-00099,Employee 99,Finance,Zoom,Standard,1200,72,13,2026-05-20,2025-09-03,0,True,2,active,14400,False
u-00099,Employee 99,Finance,Salesforce,Standard,12000,64,17,2026-05-22,2025-05-25,0,True,0,active,144000,False
u-00100,Employee 100,Finance,Notion,Standard,900,19,21,2026-05-21,2025-07-14,0,True,1,active,10800,False
u-00100,Employee 100,Finance,Zoom,Premium,1920,94,28,2026-05-20,2025-06-06,0,True,2,active,23040,False
u-00100,Employee 100,Finance,Slack,Standard,700,28,28,2026-05-20,2024-05-26,0,True,2,active,8400,False
u-00101,Employee 101,Legal,GitHub,Premium,2880,53,20,2026-05-20,2024-08-22,0,True,2,active,34560,False
u-00102,Employee 102,Sales,GitHub,Premium,2880,72,28,2026-05-22,2024-06-13,0,True,0,active,34560,False
u-00103,Employee 103,Engineering,Zoom,Standard,1200,36,20,2026-05-20,2024-12-30,0,True,2,active,14400,False
u-00104,Employee 104,HR,Slack,Enterprise,1680,35,11,2026-05-22,2025-06-05,0,True,0,active,20160,False
u-00105,Employee 105,Engineering,Zoom,Standard,1200,67,22,2026-05-21,2024-11-26,0,True,1,active,14400,False
u-00106,Employee 106,HR,GitHub,Standard,1800,1,1,2026-04-21,2024-10-24,0,True,31,low,21600,True
u-00107,Employee 107,Finance,Notion,Standard,900,16,24,2026-05-20,2024-10-11,0,True,2,active,10800,False
u-00107,Employee 107,Finance,Slack,Enterprise,1680,26,19,2026-05-22,2025-01-01,0,True,0,active,20160,False
u-00108,Employee 108,HR,HubSpot,Enterprise,10800,2,0,2026-05-03,2025-09-18,1,True,19,low,129600,True
u-00109,Employee 109,HR,Salesforce,Premium,19200,52,19,2026-05-22,2024-05-16,0,True,0,active,230400,False
u-00109,Employee 109,HR,HubSpot,Standard,4500,0,0,,2024-02-28,1,False,999,unused,54000,True
u-00110,Employee 110,Design,GitHub,Premium,2880,57,14,2026-05-21,2025-01-07,0,True,1,active,34560,False
u-00111,Employee 111,Sales,Salesforce,Enterprise,28800,104,21,2026-05-20,2025-11-22,0,True,2,active,345600,False
u-00111,Employee 111,Sales,Zoom,Premium,1920,111,21,2026-05-21,2025-12-19,0,True,1,active,23040,False
u-00112,Employee 112,Marketing,GitHub,Standard,1800,1,0,2026-04-24,2024-12-24,1,True,28,low,21600,True
u-00112,Employee 112,Marketing,Slack,Standard,700,6,2,2026-05-13,2025-06-23,1,True,9,low,8400,True
u-00112,Employee 112,Marketing,Notion,Standard,900,82,17,2026-05-22,2024-08-07,0,True,0,active,10800,False
u-00113,Employee 113,Legal,Figma,Premium,2080,81,23,2026-05-20,2025-02-13,0,True,2,active,24960,False
u-00114,Employee 114,Sales,Slack,Standard,700,112,23,2026-05-21,2025-05-20,0,True,1,active,8400,False
u-00114,Employee 114,Sales,Salesforce,Standard,12000,3,1,2026-05-02,2024-10-25,0,True,20,low,144000,True
u-00115,Employee 115,Marketing,Salesforce,Standard,12000,75,12,2026-05-20,2025-04-24,0,True,2,active,144000,False
u-00115,Employee 115,Marketing,Figma,Standard,1300,1,0,2026-04-26,2026-02-28,1,True,26,low,15600,True
u-00115,Employee 115,Marketing,Zoom,Standard,1200,34,15,2026-05-20,2024-11-08,0,True,2,active,14400,False
